site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	1	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	32560	8140	13604	3401	18956	4739		0	0
design Step 3	phase1	1	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	25220	6305	13316	3329	11904	2976		0	0
design Step 3	phase1	1	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	32575	8144	13619	3405	18956	4739		0	0
design Step 3	phase1	1	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	25211	6303	13307	3327	11904	2976		0	0
design Step 3	phase1	1	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	32551	8138	13595	3399	18956	4739		0	0
design Step 3	phase1	1	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	25235	6309	13331	3333	11904	2976		0	0
design Step 3	phase1	1	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	25233	6309	13329	3333	11904	2976		0	0
design Step 3	phase1	1	dyn-codex-plan-lint-contract-reviewer	plan-review	codex	dyn-codex-plan-lint-contract-reviewer.txt	25571	6393	13182	3296	12389	3098		0	0
design Step 3	phase1	1	dyn-cursor-plan-lint-contract-reviewer	plan-review	cursor	dyn-cursor-plan-lint-contract-reviewer.txt	32911	8228	13470	3368	19441	4861		0	0
design Step 3	phase1	1	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	32573	8144	13617	3405	18956	4739		0	0
design Step 3	phase1	1	voter-1	voter	codex	codex-validity-vote-output.txt	22801	5701	9182	2296	13619	3405		0	0
design Step 3	phase1	1	voter-3	voter	codex	codex-pragmatism-vote-output.txt	22801	5701	9182	2296	13619	3405		0	0
design Step 3	phase1	1	voter-2	voter	codex	codex-plan-fidelity-vote-output.txt	22801	5701	9182	2296	13619	3405		0	0
