finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Codex-Arch	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_2	Cursor-Edge	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_3	Codex-Edge, Codex-Pragmatic, Cursor-dyn-ledger-schema	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor
FINDING_4	Codex-Innovation, Codex-dyn-ledger-schema	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor
FINDING_5	Cursor-Requirements	exonerated	EXONERATE	true	major	good	false	Claude	EXONERATE	partially-true	minor	good	false	Codex	EXONERATE	partially-true	major	good	false	Cursor
FINDING_6	Codex-Requirements	exonerated	EXONERATE	partially-true	nit	adequate	false	Claude	EXONERATE	partially-true	nit	adequate	false	Codex	EXONERATE	partially-true	nit	adequate	false	Cursor
FINDING_7	Cursor-dyn-deferred-handoff	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_8	Codex-dyn-deferred-handoff	exonerated	EXONERATE	partially-true	nit	adequate	false	Claude	EXONERATE	true	nit	adequate	false	Codex	EXONERATE	true	minor	adequate	false	Cursor
FINDING_9	Codex-dyn-deferred-handoff	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_10	Codex-dyn-publish-freshness	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	good	false	Cursor
