site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	2	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	30340	7585	14202	3551	16138	4035		0	0
design Step 3	phase1	2	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	30200	7550	14062	3516	16138	4035		0	0
design Step 3	phase1	2	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	22481	5621	13798	3450	8683	2171		0	0
design Step 3	phase1	2	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	30224	7556	14086	3522	16138	4035		0	0
design Step 3	phase1	2	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	30222	7556	14084	3521	16138	4035		0	0
design Step 3	phase1	2	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	22479	5620	13796	3449	8683	2171		0	0
design Step 3	phase1	2	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	22457	5615	13774	3444	8683	2171		0	0
design Step 3	phase1	2	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	22597	5650	13914	3479	8683	2171		0	0
review Step 2	phase1	2	aggregator	aggregator	codex	aggregator-output.txt	16644	4161	4601	1151	12043	3011	agents/orchestrator-aggregator.md	4363	1091
review Step 2	phase2	2	aggregator	aggregator	cursor	aggregator-output-phase2.txt	16644	4161	4601	1151	12043	3011	agents/orchestrator-aggregator.md	4363	1091
design Step 3	phase1	2	voter-1	voter	codex	codex-validity-vote-output.txt	19871	4968	9132	2283	10739	2685		0	0
design Step 3	phase1	2	voter-2	voter	codex	codex-plan-fidelity-vote-output.txt	19871	4968	9132	2283	10739	2685		0	0
design Step 3	phase1	2	voter-3	voter	codex	codex-pragmatism-vote-output.txt	19871	4968	9132	2283	10739	2685		0	0
