site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	2	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	36870	9218	13378	3345	23492	5873		0	0
design Step 3	phase1	2	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	36861	9216	13369	3343	23492	5873		0	0
design Step 3	phase1	2	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	24132	6033	13090	3273	11042	2761		0	0
design Step 3	phase1	2	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	24123	6031	13081	3271	11042	2761		0	0
design Step 3	phase1	2	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	24145	6037	13103	3276	11042	2761		0	0
design Step 3	phase1	2	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	36883	9221	13391	3348	23492	5873		0	0
design Step 3	phase1	2	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	36885	9222	13393	3349	23492	5873		0	0
design Step 3	phase1	2	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	24147	6037	13105	3277	11042	2761		0	0
review Step 2	phase1	2	aggregator	aggregator	codex	aggregator-output.txt	28509	7128	4510	1128	23999	6000	agents/orchestrator-aggregator.md	4397	1100
design Step 3	plan-review-voters	2	voter-1	voter	claude	claude-vote-output.txt	21874	5469	9067	2267	12807	3202		0	0
design Step 3	phase1	2	voter-2	voter	codex	codex-vote-output.txt	21874	5469	9067	2267	12807	3202		0	0
design Step 3	phase1	2	voter-3	voter	cursor	cursor-vote-output.txt	21874	5469	9067	2267	12807	3202		0	0
