# attributed_ballot_sha256=92eda775f041d952656d5127f7638146b0af2991bbb3a42570097c810332d129
# neutral_ballot_sha256=f0ad0a33105f722bbb265cf9ded96b8acf38b04e716018d80fca93e2286b177a
item_id	reviewer	reviewer_line
FINDING_1	Cursor-Arch, Cursor-Innovation	- **Reviewer(s)**: Cursor-Arch, Cursor-Innovation
FINDING_2	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements	- **Reviewer(s)**: Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements
FINDING_3	Cursor-Arch	- **Reviewer(s)**: Cursor-Arch
FINDING_4	Codex-Arch, Cursor-Requirements	- **Reviewer(s)**: Codex-Arch, Cursor-Requirements
FINDING_5	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_6	Cursor-Pragmatic	- **Reviewer(s)**: Cursor-Pragmatic
FINDING_7	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_8	Codex-Innovation	- **Reviewer(s)**: Codex-Innovation
FINDING_9	Codex-Requirements	- **Reviewer(s)**: Codex-Requirements
OOS_1	Cursor-Arch	- **Reviewer**: Cursor-Arch
OOS_2	Codex-Pragmatic	- **Reviewer**: Codex-Pragmatic
