finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch	neutral	YES	partially-true	major	good	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	partially-true	major	excellent	false	Cursor	blocking
FINDING_2	Cursor-Arch	rejected	NO	false-positive	minor	adequate	false	Claude	NO	partially-true	minor	good	false	Codex	NO	true	major	excellent	false	Cursor	important
FINDING_3	Cursor-Arch	rejected	NO	false-positive	major	good	false	Claude	NO	false-positive	major	good	false	Codex	NO	true	major	excellent	false	Cursor	important
FINDING_4	Cursor-Arch	rejected	NO	false-positive	major	adequate	false	Claude	NO	false-positive	major	good	false	Codex	NO	true	major	excellent	false	Cursor	important
FINDING_5	Cursor-Arch	rejected	NO	partially-true	minor	good	true	Claude	NO	true	nit	good	false	Codex	NO	true	minor	good	false	Cursor	important
FINDING_6	Codex-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_7	Codex-Arch	accepted	NO	partially-true	minor	adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Cursor-Innovation Phase2	accepted	NO	partially-true	minor	adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Codex-Innovation	accepted	YES	true	blocker	good	false	Claude	YES	true	blocker	good	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking
FINDING_10	Codex-Pragmatic	accepted	NO	partially-true	minor	adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_11	Cursor-Requirements Phase2	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_12	Codex-Requirements	neutral	NO	true	minor	good	false	Claude	YES	true	major	excellent	false	Codex	NO	partially-true	minor	good	false	Cursor	important
