round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	3	6	1	5
1	codex	codex-plan-arch	Codex-Arch	0	0	0	0
1	cursor	cursor-plan-innovation	Cursor-Innovation	1	2	1	3
1	codex	codex-plan-innovation	Codex-Innovation	1	2	0	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	3	6	0	4
1	codex	codex-plan-pragmatic	Codex-Pragmatic	1	2	0	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	1	2	0	1
1	codex	codex-plan-requirements	Codex-Requirements	2	4	0	2
1	codex	codex-plan-generic	Codex-Generic	1	2	0	1
1	cursor	dyn-cursor-plan-prompt-lazy-load-auditor	Cursor-dyn-Prompt Lazy Load Auditor	2	4	1	3
1	codex	dyn-codex-plan-prompt-lazy-load-auditor	Codex-dyn-Prompt Lazy Load Auditor	2	4	0	2
2	cursor	cursor-plan-arch	Cursor-Arch	3	5	0	3
2	codex	codex-plan-arch	Codex-Arch	1	2	0	1
2	cursor	cursor-plan-innovation	Cursor-Innovation	2	3	3	5
2	codex	codex-plan-innovation	Codex-Innovation	1	2	0	1
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	4	8	0	4
2	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	0	0
2	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0	0
2	codex	codex-plan-requirements	Codex-Requirements	0	0	0	0
2	codex	codex-plan-generic	Codex-Generic	1	2	0	1
3	cursor	cursor-plan-arch	Cursor-Arch	3	6	3	6
3	codex	codex-plan-arch	Codex-Arch	2	4	0	2
3	cursor	cursor-plan-innovation	Cursor-Innovation	3	6	3	6
3	codex	codex-plan-innovation	Codex-Innovation	2	4	0	2
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	2	0	1
3	codex	codex-plan-pragmatic	Codex-Pragmatic	2	4	0	2
3	cursor	cursor-plan-requirements	Cursor-Requirements	1	2	4	5
3	codex	codex-plan-requirements	Codex-Requirements	2	4	0	2
4	cursor	cursor-plan-arch	Cursor-Arch	1	2	2	3
4	codex	codex-plan-arch	Codex-Arch	2	4	0	2
4	cursor	cursor-plan-innovation	Cursor-Innovation	3	6	3	6
4	codex	codex-plan-innovation	Codex-Innovation	0	0	0	0
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	2	4	5
4	codex	codex-plan-pragmatic	Codex-Pragmatic	2	4	0	2
4	codex	codex-plan-requirements	Codex-Requirements	3	6	0	3
5	cursor	cursor-plan-arch	Cursor-Arch	1	2	2	5
5	codex	codex-plan-arch	Codex-Arch	2	4	0	2
5	cursor	cursor-plan-innovation	Cursor-Innovation	4	8	4	8
5	codex	codex-plan-innovation	Codex-Innovation	2	4	0	2
5	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	4	8	1	5
5	codex	codex-plan-pragmatic	Codex-Pragmatic	1	2	0	1
5	cursor	cursor-plan-requirements	Cursor-Requirements	4	8	3	7
5	codex	codex-plan-requirements	Codex-Requirements	0	0	0	0
