cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-edge	Cursor-Edge
codex-plan-edge	Codex-Edge
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-parity-contract	Cursor-dyn-parity-contract
dyn-codex-plan-parity-contract	Codex-dyn-parity-contract
dyn-cursor-plan-scope-boundary	Cursor-dyn-scope-boundary
dyn-codex-plan-scope-boundary	Codex-dyn-scope-boundary
dyn-cursor-plan-consumer-sweep	Cursor-dyn-consumer-sweep
dyn-codex-plan-consumer-sweep	Codex-dyn-consumer-sweep
