slot	tool	status	elapsed_s	output
cursor-plan-arch	cursor	done	907	<TMPDIR>/cursor-plan-arch-output.txt
codex-plan-arch	codex	done	907	<TMPDIR>/codex-primary-plan-arch-output.txt
cursor-plan-innovation	cursor	done	907	<TMPDIR>/cursor-plan-innovation-output.txt
codex-plan-innovation	codex	done	907	<TMPDIR>/codex-primary-plan-innovation-output.txt
cursor-plan-pragmatic	cursor	done	907	<TMPDIR>/cursor-plan-pragmatic-output.txt
codex-plan-pragmatic	codex	done	907	<TMPDIR>/codex-primary-plan-pragmatic-output.txt
cursor-plan-requirements	cursor	done	907	<TMPDIR>/cursor-plan-requirements-output.txt
codex-plan-requirements	codex	done	907	<TMPDIR>/codex-primary-plan-requirements-output.txt
dyn-cursor-plan-teardown-subtree-parity	cursor	done	907	<TMPDIR>/cursor-plan-dyn-teardown-subtree-parity-output.txt
dyn-codex-plan-teardown-subtree-parity	codex	done	907	<TMPDIR>/codex-primary-plan-dyn-teardown-subtree-parity-output.txt
dyn-cursor-plan-caller-retarget-and-embedded-blobs	cursor	done	907	<TMPDIR>/cursor-plan-dyn-caller-retarget-and-embedded-blobs-output.txt
dyn-codex-plan-caller-retarget-and-embedded-blobs	codex	done	907	<TMPDIR>/codex-primary-plan-dyn-caller-retarget-and-embedded-blobs-output.txt
dyn-cursor-plan-kv-grammar-and-dropfile-parity	cursor	done	907	<TMPDIR>/cursor-plan-dyn-kv-grammar-and-dropfile-parity-output.txt
dyn-codex-plan-kv-grammar-and-dropfile-parity	codex	done	907	<TMPDIR>/codex-primary-plan-dyn-kv-grammar-and-dropfile-parity-output.txt
