round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	2	2	0	2
1	codex	codex-plan-arch	Codex-Arch	0	0	0	0
1	cursor	cursor-plan-innovation	Cursor-Innovation	3	3	1	4
1	codex	codex-plan-innovation	Codex-Innovation	0	0	0	0
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	3	3	0	3
1	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	1	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	2	2	0	2
1	codex	codex-plan-requirements	Codex-Requirements	0	0	0	0
1	cursor	dyn-cursor-plan-repair-loop-risk	Cursor-dyn-Repair Loop Risk	2	2	1	3
1	codex	dyn-codex-plan-repair-loop-risk	Codex-dyn-Repair Loop Risk	0	0	1	1
2	cursor	cursor-plan-arch	Cursor-Arch	0	0	0	0
2	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0	0
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	0	1
2	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0	0
