finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-dyn-Ci Recovery Integrity	accepted	NO	true	major	excellent	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Arch, Cursor-dyn-Ci Recovery Integrity, Codex-dyn-Ci Recovery Integrity	neutral	NO	partially-true	nit	good	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	oos
FINDING_3	Cursor-Arch, Cursor-Innovation, Codex-dyn-Ci Recovery Integrity	rejected	NO	true	minor	excellent	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	in_scope
FINDING_4	Codex-Arch	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	partially-true	minor	weak	false	codex-pragmatism	minor	in_scope
FINDING_5	Codex-Arch, Cursor-dyn-Ci Recovery Integrity, Codex-dyn-Ci Recovery Integrity	rejected	NO	partially-true	nit	good	false	codex-validity	NO	false-positive	nit	adequate	false	codex-plan-fidelity	NO	false-positive	nit	weak	false	codex-pragmatism	major	in_scope
FINDING_6	Cursor-Innovation, Cursor-dyn-Ci Recovery Integrity, Codex-dyn-Ci Recovery Integrity	neutral	NO	true	major	excellent	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	NO	true	major	excellent	false	codex-pragmatism	major	oos
FINDING_7	Cursor-Innovation	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_8	Codex-Innovation	rejected	NO	true	minor	good	false	codex-validity	NO	partially-true	nit	good	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	major	in_scope
FINDING_9	Cursor-Pragmatic, Codex-Pragmatic	neutral	YES	true	minor	excellent	false	codex-validity	NO	true	nit	adequate	false	codex-plan-fidelity	NO	true	minor	excellent	false	codex-pragmatism	major	in_scope
FINDING_10	Codex-Pragmatic	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_11	Cursor-dyn-Ci Recovery Integrity, Codex-dyn-Ci Recovery Integrity	accepted	NO	true	minor	excellent	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	minor	in_scope
OOS_1	Cursor-Innovation	rejected	NO	partially-true	nit	no-fix	false	codex-validity	NO	true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	no-fix	false	codex-pragmatism	minor	oos
