cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-bash-parity-contracts	Cursor-dyn-bash-parity-contracts
dyn-codex-plan-bash-parity-contracts	Codex-dyn-bash-parity-contracts
dyn-cursor-plan-cutover-completeness	Cursor-dyn-cutover-completeness
dyn-codex-plan-cutover-completeness	Codex-dyn-cutover-completeness
