finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Innovation, Cursor-Pragmatic	accepted	YES	true	blocker	good	false	Claude	NO	partially-true	major	good	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking	in_scope
FINDING_2	Cursor-Arch, Cursor-Innovation	accepted	YES	true	major	excellent	false	Claude	NO	partially-true	major	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_3	Cursor-Arch, Cursor-dyn-Dyn Route Envelope	neutral	NO	partially-true	major	good	true	Claude	NO	partially-true	major	good	false	Codex	YES	true	blocker	excellent	false	Cursor	important	in_scope
FINDING_4	Cursor-Arch, Cursor-dyn-Dyn Route Envelope	accepted	YES	true	major	good	false	Claude	NO	partially-true	major	good	false	Codex	YES	true	blocker	good	false	Cursor	blocking	in_scope
FINDING_5	Cursor-Innovation, Cursor-dyn-Dyn Route Envelope	accepted	YES	true	major	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_6	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	NO	false-positive	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_7	Codex-Innovation	rejected	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
FINDING_8	Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements	accepted	YES	true	major	excellent	false	Claude	NO	false-positive	minor	adequate	false	Codex	YES	true	blocker	excellent	false	Cursor	important	in_scope
FINDING_9	Cursor-Requirements, Cursor-dyn-Dyn Route Envelope, Codex-dyn-Dyn Route Envelope	accepted	YES	true	major	good	false	Claude	NO	false-positive	minor	adequate	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking	in_scope
FINDING_10	Codex-Requirements	rejected	NO	true	minor	good	false	Claude	NO	false-positive	minor	adequate	false	Codex	NO	true	minor	excellent	false	Cursor	important	in_scope
FINDING_11	Cursor-dyn-Dyn Route Envelope	accepted	YES	true	major	good	false	Claude	NO	false-positive	minor	adequate	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking	in_scope
OOS_1	Cursor-Innovation	neutral	YES	partially-true	minor	adequate	false	Claude	NO	partially-true	nit	no-fix	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent	oos
OOS_2	Cursor-Requirements	accepted	YES	true	minor	good	false	Claude	NO	partially-true	nit	adequate	false	Codex	YES	true	minor	good	false	Cursor	latent	oos
OOS_3	Cursor-dyn-Dyn Route Envelope	neutral	YES	true	minor	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	partially-true	nit	weak	false	Cursor	latent	oos
OOS_4	Cursor-dyn-Dyn Route Envelope	rejected	NO	true	nit	weak	false	Claude	NO	partially-true	nit	no-fix	false	Codex	NO	partially-true	nit	weak	false	Cursor	nit	oos
OOS_5	Cursor-dyn-Dyn Route Envelope	rejected	NO	true	nit	weak	false	Claude	NO	partially-true	nit	no-fix	false	Codex	NO	partially-true	nit	weak	false	Cursor	nit	oos
