# attributed_ballot_sha256=5f64504f735800cb17443232322c0fa7010d2f68fcb92bdf5b27f4e712e39cdc
# neutral_ballot_sha256=b970126d7112c7708c1c0d5d14845a91aab9fceeea0a251795987473c1b964b9
item_id	reviewer	reviewer_line
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-Requirements	- **Reviewer(s)**: Cursor-Arch, Cursor-Innovation, Cursor-Requirements
FINDING_2	Cursor-Arch, Codex-Arch, Codex-Innovation, Cursor-Pragmatic, Cursor-Requirements	- **Reviewer(s)**: Cursor-Arch, Codex-Arch, Codex-Innovation, Cursor-Pragmatic, Cursor-Requirements
FINDING_3	Cursor-Arch, Cursor-Pragmatic	- **Reviewer(s)**: Cursor-Arch, Cursor-Pragmatic
FINDING_4	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_5	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_6	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_7	Codex-Pragmatic	- **Reviewer(s)**: Codex-Pragmatic
OOS_1	Cursor-Arch	- **Reviewer**: Cursor-Arch
OOS_2	Cursor-Arch	- **Reviewer**: Cursor-Arch
OOS_3	Cursor-Innovation	- **Reviewer**: Cursor-Innovation
OOS_4	Cursor-Innovation	- **Reviewer**: Cursor-Innovation
OOS_5	Cursor-Innovation	- **Reviewer**: Cursor-Innovation
