round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	4	7	3	7
1	codex	codex-plan-arch	Codex-Arch	4	7	0	4
1	cursor	cursor-plan-innovation	Cursor-Innovation	3	6	3	9
1	codex	codex-plan-innovation	Codex-Innovation	5	10	0	5
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	4	8	3	7
1	codex	codex-plan-pragmatic	Codex-Pragmatic	3	4	1	4
1	cursor	cursor-plan-requirements	Cursor-Requirements	5	9	3	8
1	codex	codex-plan-requirements	Codex-Requirements	3	5	0	3
1	cursor	dyn-cursor-plan-triage-boundary-auditor	Cursor-dyn-Triage Boundary Auditor	3	6	2	6
1	codex	dyn-codex-plan-triage-boundary-auditor	Codex-dyn-Triage Boundary Auditor	7	13	1	9
2	cursor	cursor-plan-arch	Cursor-Arch	0	0	6	6
2	codex	codex-plan-arch	Codex-Arch	1	2	1	2
2	codex	codex-plan-innovation	Codex-Innovation	1	1	1	2
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	1	2	3
2	codex	codex-plan-pragmatic	Codex-Pragmatic	2	2	1	3
2	cursor	cursor-plan-requirements	Cursor-Requirements	1	1	0	2
2	codex	codex-plan-requirements	Codex-Requirements	4	5	0	4
