round	tool	slot	label	accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	1	0	1
1	codex	codex-plan-arch	Codex-Arch	0	0	0
1	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0
1	codex	codex-plan-innovation	Codex-Innovation	2	0	2
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	0
1	codex	codex-plan-pragmatic	Codex-Pragmatic	2	0	2
1	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0
1	codex	codex-plan-requirements	Codex-Requirements	2	0	2
1	cursor	dyn-cursor-plan-self-review-fallback	Cursor-dyn-Self Review Fallback	0	0	0
1	codex	dyn-codex-plan-self-review-fallback	Codex-dyn-Self Review Fallback	0	0	0
1	cursor	dyn-cursor-plan-duplicate-code-ci	Cursor-dyn-Duplicate Code Ci	0	0	0
1	codex	dyn-codex-plan-duplicate-code-ci	Codex-dyn-Duplicate Code Ci	0	0	0
1	cursor	dyn-cursor-plan-orchestrator-recovery	Cursor-dyn-Orchestrator Recovery	0	0	0
1	codex	dyn-codex-plan-orchestrator-recovery	Codex-dyn-Orchestrator Recovery	0	0	0
2	cursor	cursor-plan-arch	Cursor-Arch	1	0	1
2	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	0
2	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0
2	codex	codex-plan-generic	Codex-Generic	0	0	0
