round	tool	slot	label	accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	3	0	3
1	codex	codex-plan-arch	Codex-Arch	1	0	1
1	cursor	cursor-plan-innovation	Cursor-Innovation	2	2	4
1	codex	codex-plan-innovation	Codex-Innovation	1	0	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	3	2	5
1	codex	codex-plan-pragmatic	Codex-Pragmatic	1	0	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	3	0	3
1	codex	codex-plan-requirements	Codex-Requirements	1	0	1
1	cursor	dyn-cursor-plan-step8-routing-correctness	Cursor-dyn-Step8 Routing Correctness	4	0	4
1	codex	dyn-codex-plan-step8-routing-correctness	Codex-dyn-Step8 Routing Correctness	1	0	1
2	cursor	cursor-plan-arch	Cursor-Arch	1	0	2
2	cursor	cursor-plan-innovation	Cursor-Innovation	1	2	4
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	0	1
2	cursor	cursor-plan-requirements	Cursor-Requirements	1	0	2
2	codex	codex-plan-generic	Codex-Generic	0	0	0
3	cursor	cursor-plan-arch	Cursor-Arch	1	3	5
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	1	2
3	cursor	cursor-plan-requirements	Cursor-Requirements	0	2	2
3	codex	codex-plan-generic	Codex-Generic	1	1	2
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	1	2
5	cursor	cursor-plan-arch	Cursor-Arch	1	2	3
5	cursor	cursor-plan-innovation	Cursor-Innovation	1	1	2
5	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	1	1
5	cursor	cursor-plan-requirements	Cursor-Requirements	1	1	2
5	codex	codex-plan-generic	Codex-Generic	0	0	0
