finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Pragmatic, Codex-Requirements, Codex-dyn-wire-contract, Cursor-dyn-fallback-artifacts, Cursor-dyn-compatibility-harness	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_2	Codex-Arch	exonerated	EXONERATE	partially-true	minor	adequate	true	Claude	YES	partially-true	major	good	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_3	Codex-Arch, Codex-Edge	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor
FINDING_4	Cursor-Edge, Cursor-Innovation, Cursor-Pragmatic, Cursor-dyn-wire-contract, Cursor-dyn-fallback-artifacts	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_5	Cursor-Innovation	accepted	YES	true	major	adequate	false	Claude	YES	true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_6	Codex-Innovation, Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor
FINDING_7	Codex-Innovation, Cursor-dyn-fallback-artifacts	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_8	Cursor-Pragmatic, Cursor-Requirements	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_9	Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_10	Codex-dyn-wire-contract	accepted	YES	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_11	Cursor-dyn-fallback-artifacts, Codex-dyn-fallback-artifacts	accepted	EXONERATE	partially-true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_12	Cursor-dyn-compatibility-harness	neutral	YES	true	minor	good	false	Claude	NO	false-positive	nit	weak	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_13	Cursor-dyn-compatibility-harness	neutral	NO	false-positive	nit	no-fix	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_14	Cursor-dyn-compatibility-harness	exonerated	EXONERATE	partially-true	minor	adequate	false	Claude	EXONERATE	partially-true	minor	adequate	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_15	Cursor-dyn-compatibility-harness	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	EXONERATE	true	minor	adequate	false	Cursor
FINDING_16	Cursor-dyn-compatibility-harness	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_17	Cursor-dyn-compatibility-harness	exonerated	YES	true	minor	good	false	Claude	EXONERATE	partially-true	minor	adequate	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_18	Codex-dyn-compatibility-harness	exonerated	EXONERATE	partially-true	minor	adequate	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
