finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Cursor-Pragmatic	neutral	NO	uncertain	minor	adequate	true	Claude	YES	true	major	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_2	Cursor-Arch, Cursor-Pragmatic, Cursor-Requirements	neutral	NO	false-positive	blocker	excellent	false	Claude	NO	false-positive	nit	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Cursor-Innovation	rejected	NO	false-positive	major	adequate	false	Claude	NO	false-positive	nit	adequate	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_4	Cursor-Pragmatic	rejected	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	false-positive	minor	excellent	false	Cursor	important
FINDING_5	Cursor-Pragmatic	rejected	NO	false-positive	major	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent
FINDING_6	Codex-Generic	rejected	NO	partially-true	minor	good	false	Claude	NO	true	minor	good	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
FINDING_7	Cursor-dyn-caller-audit	neutral					true	Claude					true	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Cursor-dyn-legacy-guard-intent	rejected					true	Claude					true	Codex	NO	false-positive	minor	excellent	false	Cursor	important
FINDING_9	Cursor-Arch	rejected					true	Claude					true	Codex	NO	true	minor	excellent	false	Cursor	important
FINDING_10	Cursor-Requirements	rejected					true	Claude					true	Codex	NO	true	minor	excellent	false	Cursor	important
FINDING_11	Codex-Generic	neutral					true	Claude					true	Codex	YES	partially-true	major	good	false	Cursor	important
OOS_1	Cursor-Pragmatic	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	NO	false-positive		adequate	true	Cursor	latent
OOS_2	Cursor-dyn-shell-python-drift	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
OOS_3	Cursor-Pragmatic	rejected					true	Claude					true	Codex	NO	true	nit	excellent	false	Cursor	nit
