round	tool	slot	label	accepted_count
1	cursor	cursor-plan-arch	Cursor-Arch	1
1	codex	codex-plan-arch	Codex-Arch	1
1	cursor	cursor-plan-innovation	Cursor-Innovation	1
1	codex	codex-plan-innovation	Codex-Innovation	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
1	codex	codex-plan-pragmatic	Codex-Pragmatic	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	1
1	codex	codex-plan-requirements	Codex-Requirements	1
1	cursor	dyn-cursor-plan-design-fence-lint	Cursor-dyn-design-fence-lint	1
1	codex	dyn-codex-plan-design-fence-lint	Codex-dyn-design-fence-lint	0
1	cursor	dyn-cursor-plan-brainstorm-flow	Cursor-dyn-brainstorm-flow	1
1	codex	dyn-codex-plan-brainstorm-flow	Codex-dyn-brainstorm-flow	2
2	cursor	cursor-plan-arch	Cursor-Arch	0
2	cursor	cursor-plan-innovation	Cursor-Innovation	0
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
2	cursor	cursor-plan-requirements	Cursor-Requirements	2
2	codex	codex-plan-generic	Codex-Generic	1
3	cursor	cursor-plan-arch	Cursor-Arch	1
3	cursor	cursor-plan-innovation	Cursor-Innovation	1
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0
3	cursor	cursor-plan-requirements	Cursor-Requirements	0
3	codex	codex-plan-generic	Codex-Generic	2
4	cursor	cursor-plan-arch	Cursor-Arch	1
4	cursor	cursor-plan-innovation	Cursor-Innovation	0
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0
4	cursor	cursor-plan-requirements	Cursor-Requirements	0
4	codex	codex-plan-generic	Codex-Generic	1
5	cursor	cursor-plan-arch	Cursor-Arch	1
5	cursor	cursor-plan-innovation	Cursor-Innovation	0
5	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	3
5	cursor	cursor-plan-requirements	Cursor-Requirements	1
5	codex	codex-plan-generic	Codex-Generic	2
