round	tool	slot	label	accepted_count
1	cursor	cursor-plan-arch	Cursor-Arch	1
1	codex	codex-plan-arch	Codex-Arch	3
1	cursor	cursor-plan-innovation	Cursor-Innovation	5
1	codex	codex-plan-innovation	Codex-Innovation	4
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	7
1	codex	codex-plan-pragmatic	Codex-Pragmatic	4
1	cursor	cursor-plan-requirements	Cursor-Requirements	1
1	codex	codex-plan-requirements	Codex-Requirements	4
1	cursor	dyn-cursor-plan-contract-parity	Cursor-dyn-contract-parity	5
1	codex	dyn-codex-plan-contract-parity	Codex-dyn-contract-parity	4
1	cursor	dyn-cursor-plan-retired-path-lint	Cursor-dyn-retired-path-lint	1
1	codex	dyn-codex-plan-retired-path-lint	Codex-dyn-retired-path-lint	3
1	cursor	dyn-cursor-plan-minimal-scope	Cursor-dyn-minimal-scope	1
1	codex	dyn-codex-plan-minimal-scope	Codex-dyn-minimal-scope	3
2	cursor	cursor-plan-arch	Cursor-Arch	1
2	cursor	cursor-plan-innovation	Cursor-Innovation	1
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
2	cursor	cursor-plan-requirements	Cursor-Requirements	0
2	codex	codex-plan-generic	Codex-Generic	3
3	cursor	cursor-plan-arch	Cursor-Arch	1
3	cursor	cursor-plan-innovation	Cursor-Innovation	1
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
3	cursor	cursor-plan-requirements	Cursor-Requirements	1
3	codex	codex-plan-generic	Codex-Generic	0
4	cursor	cursor-plan-arch	Cursor-Arch	0
4	cursor	cursor-plan-innovation	Cursor-Innovation	0
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
4	cursor	cursor-plan-requirements	Cursor-Requirements	1
4	codex	codex-plan-generic	Codex-Generic	3
5	cursor	cursor-plan-arch	Cursor-Arch	1
5	cursor	cursor-plan-innovation	Cursor-Innovation	1
5	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
5	cursor	cursor-plan-requirements	Cursor-Requirements	1
5	codex	codex-plan-generic	Codex-Generic	2
