site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	2	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	25392	6348	13365	3342	12027	3007		0	0
design Step 3	phase1	2	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	25405	6352	13378	3345	12027	3007		0	0
design Step 3	phase1	2	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	19404	4851	13077	3270	6327	1582		0	0
design Step 3	phase1	2	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	19395	4849	13068	3267	6327	1582		0	0
design Step 3	phase1	2	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	25383	6346	13356	3339	12027	3007		0	0
design Step 3	phase1	2	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	19417	4855	13090	3273	6327	1582		0	0
design Step 3	phase1	2	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	19419	4855	13092	3273	6327	1582		0	0
design Step 3	phase1	2	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	25407	6352	13380	3345	12027	3007		0	0
review Step 2	phase1	2	aggregator	aggregator	codex	aggregator-output.txt	12699	3175	4639	1160	8060	2015	agents/orchestrator-aggregator.md	4397	1100
design Step 3	plan-review-voters	2	voter-1	voter	claude	claude-vote-output.txt	17733	4434	9084	2271	8649	2163		0	0
design Step 3	phase1	2	voter-2	voter	codex	codex-vote-output.txt	17733	4434	9084	2271	8649	2163		0	0
design Step 3	phase1	2	voter-3	voter	cursor	cursor-vote-output.txt	17733	4434	9084	2271	8649	2163		0	0
