round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	4	6	0	4
1	codex	codex-plan-arch	Codex-Arch	1	2	1	2
1	cursor	cursor-plan-innovation	Cursor-Innovation	5	7	0	5
1	codex	codex-plan-innovation	Codex-Innovation	2	3	0	2
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	5	6	0	5
1	codex	codex-plan-pragmatic	Codex-Pragmatic	2	4	0	2
1	cursor	cursor-plan-requirements	Cursor-Requirements	2	4	1	3
1	codex	codex-plan-requirements	Codex-Requirements	2	4	0	2
1	cursor	dyn-cursor-plan-bg-wait-hook-specialist	Cursor-dyn-Bg Wait Hook Specialist	3	5	0	3
1	codex	dyn-codex-plan-bg-wait-hook-specialist	Codex-dyn-Bg Wait Hook Specialist	3	5	0	3
2	cursor	cursor-plan-arch	Cursor-Arch	2	2	1	3
2	codex	codex-plan-arch	Codex-Arch	1	1	0	1
2	cursor	cursor-plan-innovation	Cursor-Innovation	2	2	1	3
2	codex	codex-plan-innovation	Codex-Innovation	0	0	1	1
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	2	2	0	2
2	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	1	1
2	cursor	cursor-plan-requirements	Cursor-Requirements	2	2	1	3
2	codex	codex-plan-requirements	Codex-Requirements	1	1	0	1
