site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	2	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	56120	14030		0	0
design Step 3	phase1	2	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	26591	6648		0	0
design Step 3	phase1	2	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	26429	6608		0	0
design Step 3	phase1	2	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	26474	6619		0	0
design Step 3	phase1	2	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	56282	14071		0	0
design Step 3	phase1	2	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	56165	14042		0	0
review Step 2	phase1	2	aggregator	aggregator	codex	aggregator-output.txt	28476	7119	agents/orchestrator-aggregator.md	4397	1100
design Step 3	plan-review-voters	2	voter-1	voter	claude	claude-vote-output.txt	25577	6395		0	0
design Step 3	phase1	2	voter-2	voter	codex	codex-vote-output.txt	25577	6395		0	0
design Step 3	phase1	2	voter-3	voter	cursor	cursor-vote-output.txt	25577	6395		0	0
