finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-Requirements	rejected	NO	false-positive	nit	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	partially-true	nit	good	false	Cursor	important	in_scope
FINDING_2	Cursor-Innovation, Codex-Innovation	neutral	NO	partially-true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	nit	good	false	Cursor	important	oos
FINDING_3	Cursor-Pragmatic, Cursor-Requirements, Codex-Requirements	accepted	YES	true	major	good	false	Claude	NO	partially-true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_4	Codex-Requirements	neutral	NO	uncertain	uncertain	adequate	true	Claude	YES	true	major	good	false	Codex	NO	partially-true	nit	adequate	false	Cursor	important	oos
FINDING_5	Cursor-Arch	accepted	YES	true	major	good	false	Claude	NO	partially-true	nit	adequate	false	Codex	YES	true	minor	excellent	false	Cursor	important	in_scope
FINDING_6	Codex-Arch	neutral	NO	true	major	good	false	Claude	NO	partially-true	nit	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important	oos
FINDING_7	Codex-Innovation	neutral	NO	true	major	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	YES	true	minor	excellent	false	Cursor	important	in_scope
FINDING_8	Codex-Pragmatic	neutral	NO	true	major	good	false	Claude	NO	partially-true	nit	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important	oos
OOS_1	Cursor-Innovation	rejected	NO	partially-true	nit	weak	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_2	Cursor-Innovation	rejected	NO	partially-true	nit	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	good	false	Cursor	nit	oos
OOS_3	Cursor-Pragmatic	rejected	NO	partially-true	nit	weak	false	Claude	NO	partially-true	nit	weak	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent	oos
OOS_4	Cursor-Requirements	rejected	NO	partially-true	nit	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	good	false	Cursor	latent	oos
