round	tool	slot	label	accepted_count
1	cursor	cursor-plan-arch	Cursor-Arch	7
1	codex	codex-plan-arch	Codex-Arch	3
1	cursor	cursor-plan-innovation	Cursor-Innovation	5
1	codex	codex-plan-innovation	Codex-Innovation	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	6
1	codex	codex-plan-pragmatic	Codex-Pragmatic	4
1	cursor	cursor-plan-requirements	Cursor-Requirements	1
1	codex	codex-plan-requirements	Codex-Requirements	5
1	cursor	dyn-cursor-plan-absorption-gap	Cursor-dyn-absorption-gap	5
1	codex	dyn-codex-plan-absorption-gap	Codex-dyn-absorption-gap	5
1	cursor	dyn-cursor-plan-caller-sweep	Cursor-dyn-caller-sweep	1
1	codex	dyn-codex-plan-caller-sweep	Codex-dyn-caller-sweep	3
2	cursor	cursor-plan-arch	Cursor-Arch	1
2	codex	codex-plan-arch	Codex-Arch	4
2	cursor	cursor-plan-innovation	Cursor-Innovation	1
2	codex	codex-plan-innovation	Codex-Innovation	2
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	3
2	codex	codex-plan-pragmatic	Codex-Pragmatic	4
2	cursor	cursor-plan-requirements	Cursor-Requirements	1
2	codex	codex-plan-requirements	Codex-Requirements	3
2	cursor	dyn-cursor-plan-caller-sweep	Cursor-dyn-caller-sweep	1
2	codex	dyn-codex-plan-caller-sweep	Codex-dyn-caller-sweep	3
2	cursor	dyn-cursor-plan-contract-delta	Cursor-dyn-contract-delta	1
2	codex	dyn-codex-plan-contract-delta	Codex-dyn-contract-delta	3
3	cursor	cursor-plan-arch	Cursor-Arch	1
3	codex	codex-plan-arch	Codex-Arch	1
3	cursor	cursor-plan-innovation	Cursor-Innovation	1
3	codex	codex-plan-innovation	Codex-Innovation	2
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
3	codex	codex-plan-pragmatic	Codex-Pragmatic	4
3	cursor	cursor-plan-requirements	Cursor-Requirements	1
3	codex	codex-plan-requirements	Codex-Requirements	2
3	cursor	dyn-cursor-plan-caller-sweep	Cursor-dyn-caller-sweep	1
3	codex	dyn-codex-plan-caller-sweep	Codex-dyn-caller-sweep	2
3	cursor	dyn-cursor-plan-schema-consistency	Cursor-dyn-schema-consistency	1
3	codex	dyn-codex-plan-schema-consistency	Codex-dyn-schema-consistency	0
4	cursor	cursor-plan-arch	Cursor-Arch	0
4	codex	codex-plan-arch	Codex-Arch	0
4	cursor	cursor-plan-innovation	Cursor-Innovation	1
4	codex	codex-plan-innovation	Codex-Innovation	1
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
4	codex	codex-plan-pragmatic	Codex-Pragmatic	2
4	cursor	cursor-plan-requirements	Cursor-Requirements	1
4	codex	codex-plan-requirements	Codex-Requirements	2
4	cursor	dyn-cursor-plan-caller-inventory	Cursor-dyn-caller-inventory	0
4	codex	dyn-codex-plan-caller-inventory	Codex-dyn-caller-inventory	0
4	cursor	dyn-cursor-plan-deletion-manifest	Cursor-dyn-deletion-manifest	0
4	codex	dyn-codex-plan-deletion-manifest	Codex-dyn-deletion-manifest	0
5	cursor	cursor-plan-arch	Cursor-Arch	0
5	codex	codex-plan-arch	Codex-Arch	2
5	cursor	cursor-plan-innovation	Cursor-Innovation	1
5	codex	codex-plan-innovation	Codex-Innovation	0
5	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
5	codex	codex-plan-pragmatic	Codex-Pragmatic	2
5	cursor	cursor-plan-requirements	Cursor-Requirements	0
5	codex	codex-plan-requirements	Codex-Requirements	1
5	cursor	dyn-cursor-plan-caller-gap	Cursor-dyn-caller-gap	1
5	codex	dyn-codex-plan-caller-gap	Codex-dyn-caller-gap	0
5	cursor	dyn-cursor-plan-json-schema-gap	Cursor-dyn-json-schema-gap	0
5	codex	dyn-codex-plan-json-schema-gap	Codex-dyn-json-schema-gap	1
