site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	1	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	29334	7334		0	0
design Step 3	phase1	1	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	29392	7348		0	0
design Step 3	phase1	1	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	24240	6060		0	0
design Step 3	phase1	1	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	24182	6046		0	0
design Step 3	phase1	1	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	24227	6057		0	0
design Step 3	phase1	1	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	29496	7374		0	0
design Step 3	phase1	1	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	24344	6086		0	0
design Step 3	phase1	1	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	29379	7345		0	0
design Step 3	phase1	1	dyn-codex-plan-merge-loop-correctness	plan-review	codex	dyn-codex-plan-merge-loop-correctness.txt	24502	6126		0	0
design Step 3	phase1	1	dyn-cursor-plan-merge-loop-correctness	plan-review	cursor	dyn-cursor-plan-merge-loop-correctness.txt	29654	7414		0	0
design Step 3	plan-review-voters	1	voter-1	voter	claude	claude-vote-output.txt	22632	5658		0	0
design Step 3	phase1	1	voter-2	voter	codex	codex-vote-output.txt	22632	5658		0	0
design Step 3	phase1	1	voter-3	voter	cursor	cursor-vote-output.txt	22632	5658		0	0
