site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	1	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	23658	5915		0	0
design Step 3	phase1	1	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	16523	4131		0	0
design Step 3	phase1	1	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	23645	5912		0	0
design Step 3	phase1	1	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	16627	4157		0	0
design Step 3	phase1	1	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	16510	4128		0	0
design Step 3	phase1	1	dyn-cursor-plan-transcript-lifecycle	plan-review	cursor	dyn-cursor-plan-transcript-lifecycle.txt	23933	5984		0	0
design Step 3	phase1	1	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	23600	5900		0	0
design Step 3	phase1	1	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	16465	4117		0	0
design Step 3	phase1	1	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	23762	5941		0	0
design Step 3	phase1	1	dyn-codex-plan-transcript-lifecycle	plan-review	codex	dyn-codex-plan-transcript-lifecycle.txt	16798	4200		0	0
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	20178	5045	agents/orchestrator-aggregator.md	4397	1100
design Step 3	plan-review-voters	1	voter-1	voter	claude	claude-vote-output.txt	13628	3407		0	0
design Step 3	phase1	1	voter-3	voter	cursor	cursor-vote-output.txt	13628	3407		0	0
design Step 3	phase1	1	voter-2	voter	codex	codex-vote-output.txt	13628	3407		0	0
