# attributed_ballot_sha256=13e35a74e06ab1a89e210da7d82d25e21f832eeef814c95ae307482ce25ec053
# neutral_ballot_sha256=d4db81be04667ea988462a04abbe5e5a7923f56441dbe92f62a776d52accca40
item_id	reviewer	reviewer_line
FINDING_1	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_2	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_3	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_4	Cursor-Pragmatic	- **Reviewer(s)**: Cursor-Pragmatic
FINDING_5	Cursor-Requirements Phase2, Codex-Requirements	- **Reviewer(s)**: Cursor-Requirements Phase2, Codex-Requirements
FINDING_6	Cursor-dyn-Scope Audit	- **Reviewer(s)**: Cursor-dyn-Scope Audit
FINDING_7	Cursor-Arch Phase2	- **Reviewer(s)**: Cursor-Arch Phase2
FINDING_8	Codex-Arch	- **Reviewer(s)**: Codex-Arch
FINDING_9	Cursor-Innovation	- **Reviewer(s)**: Cursor-Innovation
FINDING_10	Codex-Innovation	- **Reviewer(s)**: Codex-Innovation
FINDING_11	Codex-Pragmatic	- **Reviewer(s)**: Codex-Pragmatic
FINDING_12	Cursor-Requirements Phase2	- **Reviewer(s)**: Cursor-Requirements Phase2
FINDING_13	Codex-Requirements	- **Reviewer(s)**: Codex-Requirements
FINDING_14	Codex-dyn-Stdout Contract	- **Reviewer(s)**: Codex-dyn-Stdout Contract
