slot	tool	status	elapsed_s	output
cursor-plan-arch	cursor	done	796	<TMPDIR>/cursor-plan-arch-output.txt
codex-plan-arch	codex	done	796	<TMPDIR>/codex-primary-plan-arch-output.txt
cursor-plan-innovation	cursor	done	796	<TMPDIR>/cursor-plan-innovation-output.txt
codex-plan-innovation	codex	done	796	<TMPDIR>/codex-primary-plan-innovation-output.txt
cursor-plan-pragmatic	cursor	done	796	<TMPDIR>/cursor-plan-pragmatic-output.txt
codex-plan-pragmatic	codex	done	796	<TMPDIR>/codex-primary-plan-pragmatic-output.txt
cursor-plan-requirements	cursor	done	796	<TMPDIR>/cursor-plan-requirements-output.txt
codex-plan-requirements	codex	done	796	<TMPDIR>/codex-primary-plan-requirements-output.txt
dyn-cursor-plan-partition-guard-auditor	cursor	done	796	<TMPDIR>/cursor-plan-dyn-partition-guard-auditor-output.txt
dyn-codex-plan-partition-guard-auditor	codex	done	796	<TMPDIR>/codex-primary-plan-dyn-partition-guard-auditor-output.txt
dyn-cursor-plan-shard-membership-auditor	cursor	done	796	<TMPDIR>/cursor-plan-dyn-shard-membership-auditor-output.txt
dyn-codex-plan-shard-membership-auditor	codex	done	796	<TMPDIR>/codex-primary-plan-dyn-shard-membership-auditor-output.txt
