round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	3	5	1	4
1	codex	codex-plan-arch	Codex-Arch	1	1	0	2
1	cursor	cursor-plan-innovation	Cursor-Innovation	4	6	2	6
1	codex	codex-plan-innovation	Codex-Innovation	0	0	0	0
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	3	5	2	5
1	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	1	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	3	5	0	3
1	codex	codex-plan-requirements	Codex-Requirements	1	1	0	1
1	cursor	dyn-cursor-plan-temporal-analytics-integrity	Cursor-dyn-Temporal Analytics Integrity	4	5	4	8
1	codex	dyn-codex-plan-temporal-analytics-integrity	Codex-dyn-Temporal Analytics Integrity	1	1	0	1
2	cursor	cursor-plan-arch	Cursor-Arch	2	2	0	2
2	codex	codex-plan-arch	Codex-Arch	1	1	0	2
2	cursor	cursor-plan-innovation	Cursor-Innovation	1	1	2	4
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	0	0
2	cursor	cursor-plan-requirements	Cursor-Requirements	1	1	1	3
2	codex	codex-plan-requirements	Codex-Requirements	0	0	1	2
