finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-dyn-output-contract-parity	accepted	NO	partially-true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Codex-Arch, Cursor-Innovation, Codex-Pragmatic, Codex-Requirements, Codex-dyn-output-contract-parity, Codex-dyn-harness-stub-gap	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_3	Cursor-Innovation	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_4	Cursor-Innovation, Cursor-dyn-output-contract-parity, Codex-dyn-output-contract-parity	accepted	NO	partially-true	minor	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_5	Cursor-Innovation	rejected	NO	partially-true	nit	adequate	false	Claude	NO	true	minor	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	latent
FINDING_6	Codex-Innovation, Codex-Pragmatic	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	minor	good	false	Cursor	important
FINDING_7	Cursor-Pragmatic	neutral	NO	false-positive	nit	weak	false	Claude	NO	false-positive	minor	weak	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Cursor-dyn-output-contract-parity	neutral	NO	partially-true	minor	adequate	false	Claude	YES	true	minor	good	false	Codex	NO	partially-true	minor	good	false	Cursor	important
FINDING_9	Cursor-dyn-output-contract-parity, Codex-dyn-output-contract-parity	accepted	NO	partially-true	minor	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Cursor-dyn-harness-stub-gap	neutral	NO	partially-true	minor	good	false	Claude	NO	false-positive	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_11	Cursor-dyn-harness-stub-gap	neutral	NO	partially-true	minor	adequate	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_12	Cursor-dyn-harness-stub-gap	accepted	NO	partially-true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_13	Cursor-dyn-harness-stub-gap	neutral	NO	partially-true	minor	good	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
OOS_1	Cursor-Innovation	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent
OOS_2	Cursor-dyn-output-contract-parity	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	latent
OOS_3	Cursor-dyn-output-contract-parity	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	nit
