finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Cursor-dyn-review-loop-commit	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Codex-dyn-review-loop-commit	accepted	NO	true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_3	Cursor-dyn-review-loop-commit	rejected	NO	partially-true	minor	adequate	false	Claude	NO	true	minor	adequate	false	Codex	NO	true	minor	good	false	Cursor	important
FINDING_4	Cursor-dyn-ci-harness-contracts	accepted	YES	true	blocker	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	YES	true	major	excellent	false	Cursor	blocking
FINDING_5	Cursor-Arch	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_6	Cursor-Arch, Codex-Arch, Codex-Pragmatic	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_7	Codex-Arch	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Cursor-Innovation	accepted	YES	true		good	true	Claude	NO	false-positive	nit	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Cursor-Pragmatic, Cursor-dyn-review-loop-commit	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Cursor-dyn-review-loop-commit	accepted	NO	true		adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_11	Cursor-Requirements, Cursor-dyn-review-loop-commit	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_12	Codex-Innovation	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_13	Codex-Pragmatic	accepted	YES	true		good	true	Claude	YES	partially-true	major	adequate	false	Codex	NO	partially-true	major	adequate	false	Cursor	important
FINDING_14	Codex-dyn-ci-harness-contracts	accepted	YES	true		adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
OOS_1	Cursor-Arch	neutral	YES	partially-true		adequate	true	Claude	NO	partially-true	nit	weak	false	Codex	NO	true	nit	adequate	false	Cursor	latent
OOS_2	Cursor-Arch	accepted	YES	true		no-fix	true	Claude	YES	true	major	adequate	false	Codex	YES	true	major	good	false	Cursor	latent
