finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Cursor-Pragmatic	accepted	YES	partially-true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	NO	partially-true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_4	Codex-Innovation, Cursor-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_5	Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_6	Cursor-Requirements	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	major	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_7	Cursor-dyn-cutover-completeness, Codex-dyn-cutover-completeness	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	major	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Cursor-dyn-bash-contract-fidelity	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Codex-dyn-bash-contract-fidelity	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_10	Codex-dyn-bash-contract-fidelity	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_11	Codex-dyn-cutover-completeness	accepted	YES	true	major	excellent	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
OOS_1	Cursor-Requirements	neutral	YES	true	minor	adequate	false	Claude	NO	true	minor	no-fix	false	Codex	NO	partially-true	minor	adequate	false	Cursor	latent
