plan-arch	cursor-plan-arch	cursor	<TMPDIR>/cursor-plan-arch-output.txt	ok
plan-arch	codex-plan-arch	codex	<TMPDIR>/codex-primary-plan-arch-output.txt	ok
plan-edge	cursor-plan-edge	cursor	<TMPDIR>/cursor-plan-edge-output.txt	ok
plan-edge	codex-plan-edge	codex	<TMPDIR>/codex-primary-plan-edge-output.txt	ok
plan-innovation	cursor-plan-innovation	cursor	<TMPDIR>/cursor-plan-innovation-output.txt	ok
plan-innovation	codex-plan-innovation	codex	<TMPDIR>/codex-primary-plan-innovation-output.txt	ok
plan-pragmatic	cursor-plan-pragmatic	cursor	<TMPDIR>/cursor-plan-pragmatic-output.txt	ok
plan-pragmatic	codex-plan-pragmatic	codex	<TMPDIR>/codex-primary-plan-pragmatic-output.txt	ok
plan-requirements	codex-plan-requirements	codex	<TMPDIR>/codex-primary-plan-requirements-output.txt	ok
plan-dyn-bash32-safety	dyn-codex-plan-bash32-safety	codex	<TMPDIR>/codex-primary-plan-dyn-bash32-safety-output.txt	ok
plan-dyn-regex-left-boundary	dyn-codex-plan-regex-left-boundary	codex	<TMPDIR>/codex-primary-plan-dyn-regex-left-boundary-output.txt	ok
plan-dyn-sibling-doc-completeness	dyn-codex-plan-sibling-doc-completeness	codex	<TMPDIR>/codex-primary-plan-dyn-sibling-doc-completeness-output.txt	ok
plan-requirements	cursor-plan-requirements	codex	<TMPDIR>/cursor-plan-requirements-output.txt	reused	codex-plan-requirements
plan-dyn-bash32-safety	dyn-cursor-plan-bash32-safety	codex	<TMPDIR>/cursor-plan-dyn-bash32-safety-output.txt	reused	dyn-codex-plan-bash32-safety
plan-dyn-regex-left-boundary	dyn-cursor-plan-regex-left-boundary	codex	<TMPDIR>/cursor-plan-dyn-regex-left-boundary-output.txt	reused	dyn-codex-plan-regex-left-boundary
plan-dyn-sibling-doc-completeness	dyn-cursor-plan-sibling-doc-completeness	codex	<TMPDIR>/cursor-plan-dyn-sibling-doc-completeness-output.txt	reused	dyn-codex-plan-sibling-doc-completeness
