site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	1	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	24446	6112	14065	3517	10381	2596		0	0
design Step 3	phase1	1	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	24437	6110	14056	3514	10381	2596		0	0
design Step 3	phase1	1	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	19386	4847	13777	3445	5609	1403		0	0
design Step 3	phase1	1	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	19377	4845	13768	3442	5609	1403		0	0
design Step 3	phase1	1	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	19401	4851	13792	3448	5609	1403		0	0
design Step 3	phase1	1	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	19399	4850	13790	3448	5609	1403		0	0
design Step 3	phase1	1	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	24459	6115	14078	3520	10381	2596		0	0
design Step 3	phase1	1	dyn-cursor-plan-manifest-gate-integrity	plan-review	cursor	dyn-cursor-plan-manifest-gate-integrity.txt	24781	6196	13931	3483	10850	2713		0	0
design Step 3	phase1	1	dyn-codex-plan-manifest-gate-integrity	plan-review	codex	dyn-codex-plan-manifest-gate-integrity.txt	19721	4931	13643	3411	6078	1520		0	0
design Step 3	phase1	1	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	24461	6116	14080	3520	10381	2596		0	0
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	33199	8300	4465	1117	28734	7184	agents/orchestrator-aggregator.md	4363	1091
design Step 3	phase1	1	voter-2	voter	codex	codex-plan-fidelity-vote-output.txt	16644	4161	9137	2285	7507	1877		0	0
design Step 3	phase1	1	voter-1	voter	codex	codex-validity-vote-output.txt	16644	4161	9137	2285	7507	1877		0	0
design Step 3	phase1	1	voter-3	voter	codex	codex-pragmatism-vote-output.txt	16644	4161	9137	2285	7507	1877		0	0
