site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	1	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	22066	5517		0	0
design Step 3	phase1	1	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	15522	3881		0	0
design Step 3	phase1	1	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	22053	5514		0	0
design Step 3	phase1	1	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	15464	3866		0	0
design Step 3	phase1	1	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	15626	3907		0	0
design Step 3	phase1	1	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	22008	5502		0	0
design Step 3	phase1	1	dyn-cursor-plan-telemetry-redaction	plan-review	cursor	dyn-cursor-plan-telemetry-redaction.txt	22313	5579		0	0
design Step 3	phase1	1	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	15509	3878		0	0
design Step 3	phase1	1	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	22170	5543		0	0
design Step 3	phase1	1	dyn-codex-plan-telemetry-redaction	plan-review	codex	dyn-codex-plan-telemetry-redaction.txt	15769	3943		0	0
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	25606	6402	agents/orchestrator-aggregator.md	4397	1100
design Step 3	plan-review-voters	1	voter-1	voter	claude	claude-vote-output.txt	12374	3094		0	0
design Step 3	phase1	1	voter-2	voter	codex	codex-vote-output.txt	12374	3094		0	0
design Step 3	phase1	1	voter-3	voter	cursor	cursor-vote-output.txt	12374	3094		0	0
