round	tool	slot	label	accepted_count
1	cursor	cursor-plan-arch	Cursor-Arch	1
1	codex	codex-plan-arch	Codex-Arch	2
1	cursor	cursor-plan-innovation	Cursor-Innovation	1
1	codex	codex-plan-innovation	Codex-Innovation	2
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
1	codex	codex-plan-pragmatic	Codex-Pragmatic	2
1	cursor	cursor-plan-requirements	Cursor-Requirements	1
1	codex	codex-plan-requirements	Codex-Requirements	3
1	cursor	dyn-cursor-plan-escalation-site-coverage	Cursor-dyn-escalation-site-coverage	1
1	codex	dyn-codex-plan-escalation-site-coverage	Codex-dyn-escalation-site-coverage	2
1	cursor	dyn-cursor-plan-tier-b-boundary-drift	Cursor-dyn-tier-b-boundary-drift	5
1	codex	dyn-codex-plan-tier-b-boundary-drift	Codex-dyn-tier-b-boundary-drift	3
1	cursor	dyn-cursor-plan-kv-stdout-contract	Cursor-dyn-kv-stdout-contract	1
1	codex	dyn-codex-plan-kv-stdout-contract	Codex-dyn-kv-stdout-contract	1
2	cursor	cursor-plan-arch	Cursor-Arch	1
2	codex	codex-plan-arch	Codex-Arch	3
2	cursor	cursor-plan-innovation	Cursor-Innovation	1
2	codex	codex-plan-innovation	Codex-Innovation	2
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	5
2	codex	codex-plan-pragmatic	Codex-Pragmatic	2
2	cursor	cursor-plan-requirements	Cursor-Requirements	4
2	codex	codex-plan-requirements	Codex-Requirements	1
3	cursor	cursor-plan-arch	Cursor-Arch	3
3	codex	codex-plan-arch	Codex-Arch	3
3	cursor	cursor-plan-innovation	Cursor-Innovation	5
3	codex	codex-plan-innovation	Codex-Innovation	1
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
3	codex	codex-plan-pragmatic	Codex-Pragmatic	3
3	cursor	cursor-plan-requirements	Cursor-Requirements	1
3	codex	codex-plan-requirements	Codex-Requirements	2
3	cursor	dyn-cursor-plan-ownership-trace	Cursor-dyn-ownership-trace	0
3	codex	dyn-codex-plan-ownership-trace	Codex-dyn-ownership-trace	1
3	cursor	dyn-cursor-plan-tier-b-leakage-gaps	Cursor-dyn-tier-b-leakage-gaps	1
3	codex	dyn-codex-plan-tier-b-leakage-gaps	Codex-dyn-tier-b-leakage-gaps	2
4	cursor	cursor-plan-arch	Cursor-Arch	1
4	codex	codex-plan-arch	Codex-Arch	1
4	cursor	cursor-plan-innovation	Cursor-Innovation	1
4	codex	codex-plan-innovation	Codex-Innovation	1
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
4	codex	codex-plan-pragmatic	Codex-Pragmatic	1
4	cursor	cursor-plan-requirements	Cursor-Requirements	2
4	codex	codex-plan-requirements	Codex-Requirements	1
4	cursor	dyn-cursor-plan-stdout-channel-audit	Cursor-dyn-stdout-channel-audit	0
4	codex	dyn-codex-plan-stdout-channel-audit	Codex-dyn-stdout-channel-audit	1
4	cursor	dyn-cursor-plan-escalation-ownership-gaps	Cursor-dyn-escalation-ownership-gaps	1
4	codex	dyn-codex-plan-escalation-ownership-gaps	Codex-dyn-escalation-ownership-gaps	0
4	cursor	dyn-cursor-plan-tier-b-leakage-surface	Cursor-dyn-tier-b-leakage-surface	1
4	codex	dyn-codex-plan-tier-b-leakage-surface	Codex-dyn-tier-b-leakage-surface	1
5	cursor	cursor-plan-arch	Cursor-Arch	2
5	codex	codex-plan-arch	Codex-Arch	2
5	cursor	cursor-plan-innovation	Cursor-Innovation	3
5	codex	codex-plan-innovation	Codex-Innovation	2
5	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	4
5	codex	codex-plan-pragmatic	Codex-Pragmatic	3
5	cursor	cursor-plan-requirements	Cursor-Requirements	0
5	codex	codex-plan-requirements	Codex-Requirements	1
5	cursor	dyn-cursor-plan-escalation-ownership	Cursor-dyn-escalation-ownership	1
5	codex	dyn-codex-plan-escalation-ownership	Codex-dyn-escalation-ownership	2
5	cursor	dyn-cursor-plan-tier-data-containment	Cursor-dyn-tier-data-containment	1
5	codex	dyn-codex-plan-tier-data-containment	Codex-dyn-tier-data-containment	1
5	cursor	dyn-cursor-plan-cross-surface-parity	Cursor-dyn-cross-surface-parity	0
5	codex	dyn-codex-plan-cross-surface-parity	Codex-dyn-cross-surface-parity	0
