round	tool	slot	label	accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	0	0	0
1	codex	codex-plan-arch	Codex-Arch	0	0	1
1	cursor	cursor-plan-innovation	Cursor-Innovation	3	0	3
1	codex	codex-plan-innovation	Codex-Innovation	0	0	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	1
1	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0
1	codex	codex-plan-requirements	Codex-Requirements	0	0	0
1	cursor	dyn-cursor-plan-score-compat	Cursor-dyn-Score Compat	0	0	0
1	codex	dyn-codex-plan-score-compat	Codex-dyn-Score Compat	0	0	0
1	cursor	dyn-cursor-plan-attribution-scope	Cursor-dyn-Attribution Scope	3	0	4
1	codex	dyn-codex-plan-attribution-scope	Codex-dyn-Attribution Scope	0	0	0
2	cursor	cursor-plan-arch	Cursor-Arch	0	0	0
2	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	0
2	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	1
2	codex	codex-plan-generic	Codex-Generic	0	0	0
