round	tool	slot	label	accepted_count
1	cursor	cursor-plan-arch	Cursor-Arch	1
1	codex	codex-plan-arch	Codex-Arch	2
1	cursor	cursor-plan-edge	Cursor-Edge	4
1	codex	codex-plan-edge	Codex-Edge	1
1	cursor	cursor-plan-innovation	Cursor-Innovation	1
1	codex	codex-plan-innovation	Codex-Innovation	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
1	codex	codex-plan-pragmatic	Codex-Pragmatic	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	1
1	codex	codex-plan-requirements	Codex-Requirements	3
1	cursor	dyn-cursor-plan-subprocess-io-contract	Cursor-dyn-subprocess-io-contract	1
1	codex	dyn-codex-plan-subprocess-io-contract	Codex-dyn-subprocess-io-contract	1
1	cursor	dyn-cursor-plan-scope-omissions	Cursor-dyn-scope-omissions	2
1	codex	dyn-codex-plan-scope-omissions	Codex-dyn-scope-omissions	1
2	cursor	cursor-plan-arch	Cursor-Arch	1
2	codex	codex-plan-arch	Codex-Arch	2
2	cursor	cursor-plan-edge	Cursor-Edge	1
2	codex	codex-plan-edge	Codex-Edge	2
2	cursor	cursor-plan-innovation	Cursor-Innovation	1
2	codex	codex-plan-innovation	Codex-Innovation	2
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	5
2	codex	codex-plan-pragmatic	Codex-Pragmatic	2
2	cursor	cursor-plan-requirements	Cursor-Requirements	3
2	codex	codex-plan-requirements	Codex-Requirements	3
2	cursor	dyn-cursor-plan-launcher-contract	Cursor-dyn-launcher-contract	1
2	codex	dyn-codex-plan-launcher-contract	Codex-dyn-launcher-contract	3
2	cursor	dyn-cursor-plan-cli-flag-compat	Cursor-dyn-cli-flag-compat	1
2	codex	dyn-codex-plan-cli-flag-compat	Codex-dyn-cli-flag-compat	1
2	cursor	dyn-cursor-plan-ledger-registration	Cursor-dyn-ledger-registration	1
2	codex	dyn-codex-plan-ledger-registration	Codex-dyn-ledger-registration	2
3	cursor	cursor-plan-arch	Cursor-Arch	4
3	codex	codex-plan-arch	Codex-Arch	1
3	cursor	cursor-plan-edge	Cursor-Edge	0
3	codex	codex-plan-edge	Codex-Edge	3
3	cursor	cursor-plan-innovation	Cursor-Innovation	4
3	codex	codex-plan-innovation	Codex-Innovation	1
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
3	codex	codex-plan-pragmatic	Codex-Pragmatic	0
3	cursor	cursor-plan-requirements	Cursor-Requirements	1
3	codex	codex-plan-requirements	Codex-Requirements	1
3	cursor	dyn-cursor-plan-artifact-protocol	Cursor-dyn-artifact-protocol	0
3	codex	dyn-codex-plan-artifact-protocol	Codex-dyn-artifact-protocol	0
3	cursor	dyn-cursor-plan-cli-argv-fidelity	Cursor-dyn-cli-argv-fidelity	0
3	codex	dyn-codex-plan-cli-argv-fidelity	Codex-dyn-cli-argv-fidelity	1
4	cursor	cursor-plan-arch	Cursor-Arch	3
4	codex	codex-plan-arch	Codex-Arch	3
4	cursor	cursor-plan-edge	Cursor-Edge	5
4	codex	codex-plan-edge	Codex-Edge	1
4	cursor	cursor-plan-innovation	Cursor-Innovation	1
4	codex	codex-plan-innovation	Codex-Innovation	2
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0
4	codex	codex-plan-pragmatic	Codex-Pragmatic	1
4	cursor	cursor-plan-requirements	Cursor-Requirements	3
4	codex	codex-plan-requirements	Codex-Requirements	2
4	cursor	dyn-cursor-plan-launcher-conformance	Cursor-dyn-launcher-conformance	5
4	codex	dyn-codex-plan-launcher-conformance	Codex-dyn-launcher-conformance	2
4	cursor	dyn-cursor-plan-contract-split-safety	Cursor-dyn-contract-split-safety	1
4	codex	dyn-codex-plan-contract-split-safety	Codex-dyn-contract-split-safety	3
4	cursor	dyn-cursor-plan-ledger-wire-format	Cursor-dyn-ledger-wire-format	0
4	codex	dyn-codex-plan-ledger-wire-format	Codex-dyn-ledger-wire-format	0
5	cursor	cursor-plan-arch	Cursor-Arch	1
5	codex	codex-plan-arch	Codex-Arch	1
5	cursor	cursor-plan-edge	Cursor-Edge	1
5	codex	codex-plan-edge	Codex-Edge	1
5	cursor	cursor-plan-innovation	Cursor-Innovation	1
5	codex	codex-plan-innovation	Codex-Innovation	1
5	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
5	codex	codex-plan-pragmatic	Codex-Pragmatic	1
5	cursor	cursor-plan-requirements	Cursor-Requirements	1
5	codex	codex-plan-requirements	Codex-Requirements	0
5	cursor	dyn-cursor-plan-cli-allowlist-contract	Cursor-dyn-cli-allowlist-contract	0
5	codex	dyn-codex-plan-cli-allowlist-contract	Codex-dyn-cli-allowlist-contract	0
5	cursor	dyn-cursor-plan-fallback-reentry-invariant	Cursor-dyn-fallback-reentry-invariant	1
5	codex	dyn-codex-plan-fallback-reentry-invariant	Codex-dyn-fallback-reentry-invariant	1
5	cursor	dyn-cursor-plan-voter-caller-surface	Cursor-dyn-voter-caller-surface	2
5	codex	dyn-codex-plan-voter-caller-surface	Codex-dyn-voter-caller-surface	1
