round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	1	2	1	4
1	codex	codex-plan-arch	Codex-Arch	1	2	0	1
1	cursor	cursor-plan-innovation	Cursor-Innovation	4	6	0	7
1	codex	codex-plan-innovation	Codex-Innovation	0	0	1	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	2	4	1	4
1	codex	codex-plan-pragmatic	Codex-Pragmatic	2	4	0	2
1	cursor	cursor-plan-requirements	Cursor-Requirements	3	5	0	5
1	codex	codex-plan-requirements	Codex-Requirements	1	2	0	1
1	cursor	dyn-cursor-plan-signal-lifecycle-reviewer	Cursor-dyn-Signal Lifecycle Reviewer	4	8	1	7
1	codex	dyn-codex-plan-signal-lifecycle-reviewer	Codex-dyn-Signal Lifecycle Reviewer	1	2	0	2
2	codex	codex-plan-arch	Codex-Arch	1	2	0	1
2	cursor	cursor-plan-innovation	Cursor-Innovation	2	4	2	7
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	2	4	1	5
2	codex	codex-plan-pragmatic	Codex-Pragmatic	4	8	0	4
2	cursor	cursor-plan-requirements	Cursor-Requirements	2	4	1	5
2	codex	codex-plan-requirements	Codex-Requirements	2	4	0	2
