slot	tool	status	elapsed_s	output
cursor-plan-arch	cursor	done	1425	<TMPDIR>/cursor-plan-arch-output.txt
codex-plan-arch	codex	failed	1425	<TMPDIR>/codex-primary-plan-arch-output.txt
cursor-plan-innovation	cursor	done	1425	<TMPDIR>/cursor-plan-innovation-output.txt
codex-plan-innovation	codex	failed	1425	<TMPDIR>/codex-primary-plan-innovation-output.txt
cursor-plan-pragmatic	cursor	done	1425	<TMPDIR>/cursor-plan-pragmatic-output.txt
codex-plan-pragmatic	codex	failed	1425	<TMPDIR>/codex-primary-plan-pragmatic-output.txt
cursor-plan-requirements	cursor	done	1425	<TMPDIR>/cursor-plan-requirements-output.txt
codex-plan-requirements	codex	failed	1425	<TMPDIR>/codex-primary-plan-requirements-output.txt
dyn-cursor-plan-parity-auditor	cursor	done	1425	<TMPDIR>/cursor-plan-dyn-parity-auditor-output.txt
dyn-codex-plan-parity-auditor	codex	failed	1425	<TMPDIR>/codex-primary-plan-dyn-parity-auditor-output.txt
dyn-cursor-plan-retry-security	cursor	done	1425	<TMPDIR>/cursor-plan-dyn-retry-security-output.txt
dyn-codex-plan-retry-security	codex	failed	1425	<TMPDIR>/codex-primary-plan-dyn-retry-security-output.txt
dyn-cursor-plan-callsite-sweeper	cursor	done	1425	<TMPDIR>/cursor-plan-dyn-callsite-sweeper-output.txt
dyn-codex-plan-callsite-sweeper	codex	failed	1425	<TMPDIR>/codex-primary-plan-dyn-callsite-sweeper-output.txt
