round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	2	4	1	4
1	codex	codex-plan-arch	Codex-Arch	0	0	0	1
1	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0	0
1	codex	codex-plan-innovation	Codex-Innovation	0	0	0	1
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	4	6	1	6
1	codex	codex-plan-pragmatic	Codex-Pragmatic	1	2	0	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	1	2	0	4
1	codex	codex-plan-requirements	Codex-Requirements	0	0	0	0
1	cursor	dyn-cursor-plan-state-compatibility-auditor	Cursor-dyn-State Compatibility Auditor	3	5	0	5
1	codex	dyn-codex-plan-state-compatibility-auditor	Codex-dyn-State Compatibility Auditor	0	0	0	2
2	cursor	cursor-plan-arch	Cursor-Arch	1	1	0	3
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	1	0	2
2	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	0	1
