site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	3	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	44129	11033		0	0
design Step 3	phase1	3	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	34531	8633		0	0
design Step 3	phase1	3	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	44071	11018		0	0
design Step 3	phase1	3	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	44233	11059		0	0
design Step 3	phase1	3	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	34693	8674		0	0
design Step 3	phase1	3	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	34589	8648		0	0
design Step 3	phase1	3	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	34576	8644		0	0
design Step 3	phase1	3	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	44116	11029		0	0
review Step 2	phase1	3	aggregator	aggregator	codex	aggregator-output.txt	32270	8068	agents/orchestrator-aggregator.md	4397	1100
design Step 3	plan-review-voters	3	voter-1	voter	claude	claude-vote-output.txt	31742	7936		0	0
design Step 3	phase1	3	voter-2	voter	codex	codex-vote-output.txt	31742	7936		0	0
design Step 3	phase1	3	voter-3	voter	cursor	cursor-vote-output.txt	31742	7936		0	0
