cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-oos-pipeline-correctness	Cursor-dyn-oos-pipeline-correctness
dyn-codex-plan-oos-pipeline-correctness	Codex-dyn-oos-pipeline-correctness
dyn-cursor-plan-public-output-security	Cursor-dyn-public-output-security
dyn-codex-plan-public-output-security	Codex-dyn-public-output-security
