site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	agent_file	agent_bytes	agent_tokens
design Step 3	phase1	1	cursor-plan-innovation	plan-review	cursor	cursor-plan-innovation-output.txt	23133	5784		0	0
design Step 3	phase1	1	cursor-plan-arch	plan-review	cursor	cursor-plan-arch-output.txt	23191	5798		0	0
design Step 3	phase1	1	codex-plan-arch	plan-review	codex	codex-primary-plan-arch-output.txt	15724	3931		0	0
design Step 3	phase1	1	cursor-plan-requirements	plan-review	cursor	cursor-plan-requirements-output.txt	23295	5824		0	0
design Step 3	phase1	1	codex-plan-innovation	plan-review	codex	codex-primary-plan-innovation-output.txt	15666	3917		0	0
design Step 3	phase1	1	cursor-plan-pragmatic	plan-review	cursor	cursor-plan-pragmatic-output.txt	23178	5795		0	0
design Step 3	phase1	1	dyn-codex-plan-ci-push-order-auditor	plan-review	codex	dyn-codex-plan-ci-push-order-auditor.txt	15990	3998		0	0
design Step 3	phase1	1	codex-plan-requirements	plan-review	codex	codex-primary-plan-requirements-output.txt	15828	3957		0	0
design Step 3	phase1	1	codex-plan-pragmatic	plan-review	codex	codex-primary-plan-pragmatic-output.txt	15711	3928		0	0
design Step 3	phase1	1	dyn-cursor-plan-ci-push-order-auditor	plan-review	cursor	dyn-cursor-plan-ci-push-order-auditor.txt	23457	5865		0	0
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	21624	5406	agents/orchestrator-aggregator.md	4397	1100
design Step 3	plan-review-voters	1	voter-1	voter	claude	claude-vote-output.txt	14044	3511		0	0
design Step 3	phase1	1	voter-2	voter	codex	codex-vote-output.txt	14044	3511		0	0
design Step 3	phase1	1	voter-3	voter	cursor	cursor-vote-output.txt	14044	3511		0	0
