finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements, Codex-dyn-parity-guardian, Codex-dyn-cutover-risk, Codex-dyn-scope-control, Cursor-dyn-cutover-risk	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_2	Codex-Arch, Codex-Pragmatic, Cursor-dyn-cutover-risk, Codex-dyn-cutover-risk, Codex-dyn-scope-control	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_4	Cursor-dyn-parity-guardian	accepted	NO	partially-true	minor	adequate	false	Claude	YES	true	major	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_5	Cursor-dyn-cutover-risk	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	major	adequate	false	Codex	YES	true	blocker	good	false	Cursor	important
FINDING_6	Cursor-dyn-cutover-risk	rejected	NO	uncertain		weak	true	Claude	NO	partially-true	major	weak	true	Codex	NO	true	minor	adequate	false	Cursor	latent
FINDING_7	Codex-dyn-scope-control	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Cursor-dyn-scope-control	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_9	Codex-dyn-scope-control	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	latent
FINDING_10	Codex-dyn-scope-control	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	latent
OOS_1	Cursor-dyn-cutover-risk	accepted	YES	true	minor	adequate	false	Claude	YES	partially-true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor	latent
