round	tool	slot	label	accepted_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	6
1	codex	correctness	codex-specialist-correctness-output.txt	6
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	1
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	5
1	cursor	testing	cursor-specialist-testing-output.txt	4
1	codex	testing	codex-specialist-testing-output.txt	3
1	cursor	dyn-ci-delegate	dyn-ci-delegate-output.txt	4
1	codex	dyn-ci-delegate-codex	dyn-ci-delegate-codex-output.txt	0
1	cursor	dyn-conflict-loop	dyn-conflict-loop-output.txt	1
1	codex	dyn-conflict-loop-codex	dyn-conflict-loop-codex-output.txt	0
1	cursor	dyn-lint-claude	dyn-lint-claude-output.txt	1
1	codex	dyn-lint-claude-codex	dyn-lint-claude-codex-output.txt	0
2	cursor	correctness	cursor-specialist-correctness-output.txt	3
2	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	4
2	cursor	testing	cursor-specialist-testing-output.txt	4
2	codex	codex-generic	codex-generic-output.txt	1
2	cursor	dyn-ci-delegate	dyn-ci-delegate-output.txt	4
2	cursor	dyn-conflict-loop	dyn-conflict-loop-output.txt	2
2	cursor	dyn-lint-claude	dyn-lint-claude-output.txt	1
3	cursor	correctness	cursor-specialist-correctness-output.txt	3
3	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	1
3	cursor	testing	cursor-specialist-testing-output.txt	3
3	codex	codex-generic	codex-generic-output.txt	4
3	cursor	dyn-ci-delegate	dyn-ci-delegate-output.txt	1
3	cursor	dyn-conflict-loop	dyn-conflict-loop-output.txt	2
3	cursor	dyn-lint-claude	dyn-lint-claude-output.txt	2
4	cursor	correctness	cursor-specialist-correctness-output.txt	4
4	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	2
4	cursor	testing	cursor-specialist-testing-output.txt	1
4	codex	codex-generic	codex-generic-output.txt	2
4	cursor	dyn-ci-delegate	dyn-ci-delegate-output.txt	4
4	cursor	dyn-conflict-loop	dyn-conflict-loop-output.txt	3
4	cursor	dyn-lint-claude	dyn-lint-claude-output.txt	1
5	cursor	correctness	cursor-specialist-correctness-output.txt	4
5	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	1
5	cursor	testing	cursor-specialist-testing-output.txt	6
5	codex	codex-generic	codex-generic-output.txt	2
5	cursor	dyn-ci-delegate	dyn-ci-delegate-output.txt	5
5	cursor	dyn-conflict-loop	dyn-conflict-loop-output.txt	2
5	cursor	dyn-lint-claude	dyn-lint-claude-output.txt	1
