finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness|cursor-specialist-edge-cases|cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_2	cursor-specialist-correctness|codex-specialist-correctness|cursor-specialist-edge-cases|codex-specialist-testing|dyn-dyn-compose-gate	neutral	NO	false-positive	minor	adequate	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	NO	false-positive	minor	good	false	codex-pragmatism	oos
FINDING_3	cursor-specialist-correctness|cursor-specialist-edge-cases|dyn-dyn-compose-gate	accepted	NO	true	minor	adequate	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_4	cursor-specialist-correctness|cursor-specialist-edge-cases|cursor-specialist-testing|codex-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	good	false	codex-pragmatism	in_scope
FINDING_5	cursor-specialist-correctness	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_6	cursor-specialist-correctness|codex-specialist-correctness	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_7	cursor-specialist-edge-cases	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	NO	false-positive	minor	good	false	codex-pragmatism	in_scope
FINDING_8	codex-specialist-edge-cases	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_9	cursor-specialist-testing	neutral	YES	true	minor	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_10	cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_11	cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_12	cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_13	dyn-dyn-compose-gate	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	in_scope
