archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	5	1	0	0.200000
correctness	correctness	1	3	3	0	1.000000
testing	risk-integration	1	4	3	0	0.750000
security	security	1	2	2	0	1.000000
edge-cases	correctness	1	6	4	0	0.666667
plan-fidelity	architecture	1	5	1	0	0.200000
dyn-oos-pipeline	risk-integration	1	0	0	0	n/a
dyn-shell-portability	code-quality	1	2	2	0	1.000000
dyn-parser-parity	correctness	1	1	1	0	1.000000
dyn-holdback-routing	security	1	2	2	0	1.000000
dyn-regression-harness	correctness	1	2	2	0	1.000000
