finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	codex-specialist-edge-cases-output.txt	rejected	NO	false-positive	uncertain	weak	false	cursor-validity	NO	false-positive	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_2	codex-specialist-correctness-output.txt	rejected	NO	false-positive	nit	no-fix	false	cursor-validity	NO	false-positive	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_3	cursor-specialist-correctness-output.txt|codex-specialist-testing-output.txt|dyn-dyn-step4-mode-output.txt	rejected	NO	partially-true	minor	good	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_4	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	nit	adequate	false	cursor-validity	NO	false-positive	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_5	cursor-specialist-correctness-output.txt|codex-specialist-testing-output.txt|dyn-dyn-step4-mode-output.txt|dyn-dyn-structure-pins-output.txt	rejected	NO	partially-true	nit	good	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_6	dyn-dyn-settle-contract-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_7	dyn-dyn-settle-contract-output.txt	rejected	NO	partially-true	minor	good	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_8	dyn-dyn-structure-pins-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_9	dyn-dyn-structure-pins-output.txt	rejected	NO	partially-true	nit	good	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	in_scope
FINDING_10	dyn-dyn-structure-pins-output.txt	rejected	NO	partially-true	nit	adequate	false	cursor-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	in_scope
