finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt	accepted	NO	true	minor	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_2	cursor-specialist-correctness-output.txt	neutral	NO	true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_3	cursor-specialist-correctness-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism	oos
FINDING_4	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism	oos
FINDING_5	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	weak	false	cursor-pragmatism	oos
FINDING_6	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	adequate	false	cursor-pragmatism	oos
FINDING_7	codex-specialist-correctness-output.txt	accepted	NO	partially-true	minor	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_8	cursor-specialist-edge-cases-output.txt	accepted	NO	true	minor	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_9	codex-specialist-edge-cases-output.txt	accepted	NO	partially-true	minor	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	oos
FINDING_10	cursor-specialist-testing-output.txt	neutral	NO	true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_11	cursor-specialist-testing-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	oos
FINDING_12	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism	oos
FINDING_13	cursor-specialist-testing-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
FINDING_14	cursor-specialist-testing-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	weak	false	cursor-pragmatism	oos
FINDING_15	cursor-specialist-testing-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism	oos
