round	tool	slot	label	accepted_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	1
1	codex	correctness	codex-specialist-correctness-output.txt	3
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	1
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	1
1	cursor	testing	cursor-specialist-testing-output.txt	1
1	codex	testing	codex-specialist-testing-output.txt	2
1	cursor	dyn-sentinel-routing	dyn-sentinel-routing-output.txt	2
1	codex	dyn-sentinel-routing-codex	dyn-sentinel-routing-codex-output.txt	0
1	cursor	dyn-hook-boundary	dyn-hook-boundary-output.txt	0
1	codex	dyn-hook-boundary-codex	dyn-hook-boundary-codex-output.txt	0
1	cursor	dyn-asset-drift	dyn-asset-drift-output.txt	0
1	codex	dyn-asset-drift-codex	dyn-asset-drift-codex-output.txt	0
2	cursor	correctness	cursor-specialist-correctness-output.txt	0
2	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	0
2	cursor	testing	cursor-specialist-testing-output.txt	1
2	codex	codex-generic	codex-generic-output.txt	1
2	cursor	dyn-sentinel-routing	dyn-sentinel-routing-output.txt	1
2	cursor	dyn-hook-boundary	dyn-hook-boundary-output.txt	0
2	cursor	dyn-asset-drift	dyn-asset-drift-output.txt	0
