finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	rejected	NO	true		good	true	NO	partially-true	major	adequate	false	NO	true	major	good	false
FINDING_10	cursor-specialist-testing-output.txt|dyn-sentinel-routing-output.txt	accepted	YES	true		good	true	YES	true	major	good	false	NO	true	minor	good	false
FINDING_11	dyn-asset-drift-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	nit	adequate	false	NO	true	minor	adequate	false
FINDING_12	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_2	dyn-sentinel-routing-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_3	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-sentinel-routing-output.txt	rejected	NO	true		adequate	true	NO	partially-true	minor	adequate	false	NO	partially-true	major	good	false
FINDING_4	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	accepted	NO	partially-true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_5	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_6	codex-specialist-correctness-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	codex-specialist-testing-output.txt	accepted	NO			adequate	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_8	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-hook-boundary-output.txt	rejected	NO	true		adequate	true	NO	true	minor	good	false	NO	partially-true	nit	adequate	false
FINDING_9	dyn-hook-boundary-output.txt	rejected	NO	true		adequate	true	NO	partially-true	nit	adequate	false	NO	partially-true	nit	adequate	false
