site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
implement Step 5	phase1	1	dyn-dyn-bgjob-contract	specialist	cursor	dyn-dyn-bgjob-contract-output.txt	51105	12777	29588	7397	21517	5380		0	0
implement Step 5	phase1	1	dyn-dyn-bgjob-contract-codex	specialist	codex	dyn-dyn-bgjob-contract-codex-output.txt	51105	12777	29588	7397	21517	5380		0	0
implement Step 5	phase1	1	correctness	specialist	cursor	cursor-specialist-correctness-output.txt	54325	13582	33322	8331	21003	5251	agents/reviewer-correctness.md	5788	1447
implement Step 5	phase1	1	correctness	specialist	codex	codex-specialist-correctness-output.txt	54325	13582	33322	8331	21003	5251	agents/reviewer-correctness.md	5788	1447
implement Step 5	phase1	1	edge-cases	specialist	cursor	cursor-specialist-edge-cases-output.txt	54797	13700	33794	8449	21003	5251	agents/reviewer-edge-cases.md	6297	1575
implement Step 5	phase1	1	edge-cases	specialist	codex	codex-specialist-edge-cases-output.txt	54797	13700	33794	8449	21003	5251	agents/reviewer-edge-cases.md	6297	1575
implement Step 5	phase1	1	testing	specialist	cursor	cursor-specialist-testing-output.txt	54239	13560	33236	8309	21003	5251	agents/reviewer-testing.md	5764	1441
implement Step 5	phase1	1	testing	specialist	codex	codex-specialist-testing-output.txt	54239	13560	33236	8309	21003	5251	agents/reviewer-testing.md	5764	1441
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	22036	5509	4140	1035	17896	4474	agents/orchestrator-aggregator.md	4363	1091
implement Step 5	phase1	1	voter-1	voter	codex	codex-validity-vote-output.txt	8699	2175	8455	2114	244	61		0	0
implement Step 5	phase1	1	voter-3	voter	codex	codex-pragmatism-vote-output.txt	8756	2189	8512	2128	244	61		0	0
implement Step 5	phase1	1	voter-2	voter	codex	codex-plan-fidelity-vote-output.txt	9045	2262	8801	2201	244	61		0	0
implement Step 5	phase1	1	dyn-dyn-bgjob-contract	specialist	cursor	dyn-dyn-bgjob-contract-output.txt	56896	14224	29587	7397	27309	6828		0	0
implement Step 5	phase1	1	dyn-dyn-bgjob-contract-codex	specialist	codex	dyn-dyn-bgjob-contract-codex-output.txt	56896	14224	29587	7397	27309	6828		0	0
implement Step 5	phase1	1	correctness	specialist	codex	codex-specialist-correctness-output.txt	60116	15029	33321	8331	26795	6699	agents/reviewer-correctness.md	5788	1447
implement Step 5	phase1	1	correctness	specialist	cursor	cursor-specialist-correctness-output.txt	60116	15029	33321	8331	26795	6699	agents/reviewer-correctness.md	5788	1447
implement Step 5	phase1	1	testing	specialist	cursor	cursor-specialist-testing-output.txt	60030	15008	33235	8309	26795	6699	agents/reviewer-testing.md	5764	1441
implement Step 5	phase1	1	edge-cases	specialist	cursor	cursor-specialist-edge-cases-output.txt	60588	15147	33793	8449	26795	6699	agents/reviewer-edge-cases.md	6297	1575
implement Step 5	phase1	1	testing	specialist	codex	codex-specialist-testing-output.txt	60030	15008	33235	8309	26795	6699	agents/reviewer-testing.md	5764	1441
implement Step 5	phase1	1	edge-cases	specialist	codex	codex-specialist-edge-cases-output.txt	60588	15147	33793	8449	26795	6699	agents/reviewer-edge-cases.md	6297	1575
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	25746	6437	4140	1035	21606	5402	agents/orchestrator-aggregator.md	4363	1091
implement Step 5	phase1	1	voter-1	voter	codex	codex-validity-vote-output.txt	14639	3660	8456	2114	6183	1546		0	0
implement Step 5	phase1	1	voter-2	voter	codex	codex-plan-fidelity-vote-output.txt	14985	3747	8802	2201	6183	1546		0	0
implement Step 5	phase1	1	voter-3	voter	codex	codex-pragmatism-vote-output.txt	14696	3674	8513	2129	6183	1546		0	0
review.fix_coder	review.fix_coder	1	implementer	implementer	codex	coder-output.log	1746	437	0	0	2531	633		0	0
