archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	0	2	0.000000
correctness	correctness	1	2	0	1	0.000000
edge-cases	correctness	1	2	0	2	0.000000
edge-cases	correctness	1	2	0	0	0.000000
testing	risk-integration	1	3	1	1	0.333333
testing	risk-integration	1	0	0	0	n/a
generic	code-quality	1	0	0	0	n/a
dyn-dyn-step18-routing	correctness	1	2	0	0	0.000000
dyn-dyn-step18-routing-codex	correctness	1	0	0	0	n/a
dyn-dyn-closeout-oos	risk-integration	1	4	0	3	0.000000
dyn-dyn-closeout-oos-codex	risk-integration	1	0	0	0	n/a
