finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt	rejected	NO	true	minor	good	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_10	cursor-specialist-testing-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_11	cursor-specialist-testing-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_12	cursor-specialist-testing-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_13	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_14	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_15	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_16	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_17	codex-generic-output.txt	neutral	NO	uncertain	minor	good	true	YES	true	minor	good	false	NO	true	minor	good	false
FINDING_18	dyn-scout-sidecar-pipeline-output.txt	rejected	NO	true	minor	good	true	NO	partially-true	minor	weak	false	NO	true	minor	good	false
FINDING_19	dyn-scout-sidecar-pipeline-output.txt	rejected	NO	true	minor	good	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_2	cursor-specialist-correctness-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_20	dyn-scout-sidecar-pipeline-output.txt	rejected	NO	partially-true	minor	good	true	NO	uncertain	minor	adequate	true	NO	partially-true	minor	good	true
FINDING_21	dyn-scout-sidecar-pipeline-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_22	dyn-scout-sidecar-pipeline-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_23	dyn-scout-sidecar-pipeline-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_24	dyn-required-flag-propagation-output.txt	rejected	NO	true	minor	good	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_25	dyn-required-flag-propagation-output.txt	rejected	NO	true	minor	good	false	NO	true	minor	adequate	false	NO	true	minor	adequate	false
FINDING_26	dyn-required-flag-propagation-output.txt	rejected	NO	true	minor	good	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_27	dyn-required-flag-propagation-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_28	dyn-required-flag-propagation-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	weak	false	NO	true	nit	weak	false
FINDING_29	dyn-required-flag-propagation-output.txt	neutral	JUDGE_ERROR				true	YES	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_3	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_30	dyn-emergency-merge-security-output.txt	neutral	NO	partially-true	minor	good	false	YES	true	major	adequate	false	NO	true	minor	good	false
FINDING_31	dyn-emergency-merge-security-output.txt	rejected	NO	partially-true	minor	adequate	true	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false
FINDING_32	dyn-emergency-merge-security-output.txt	neutral	JUDGE_ERROR				true	YES	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_33	dyn-emergency-merge-security-output.txt	neutral	JUDGE_ERROR				true	YES	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_34	dyn-emergency-merge-security-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_35	dyn-emergency-merge-security-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	uncertain	false
FINDING_4	cursor-specialist-correctness-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_5	cursor-specialist-edge-cases-output.txt	accepted	NO	partially-true	minor	adequate	true	YES	true	minor	adequate	false	YES	true	major	excellent	false
FINDING_6	cursor-specialist-edge-cases-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_7	cursor-specialist-edge-cases-output.txt	neutral	NO	true	nit	adequate	false	YES	true	minor	good	false	NO	true	nit	good	false
FINDING_8	cursor-specialist-edge-cases-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	weak	false
FINDING_9	cursor-specialist-edge-cases-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	adequate	false
