finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-git-add-scope-output.txt	accepted	YES	true	major	adequate	false	YES	partially-true	major	good	false	YES	true	major	good	false
FINDING_10	cursor-specialist-testing-output.txt	rejected	NO	uncertain	uncertain	weak	true	NO	false-positive		weak	true	NO	false-positive	minor	no-fix	false
FINDING_11	cursor-specialist-testing-output.txt	exonerated	EXONERATE	partially-true		adequate	true	YES	true	minor	good	false	EXONERATE	partially-true	minor	adequate	false
FINDING_12	cursor-specialist-testing-output.txt	exonerated	EXONERATE	true		adequate	true	YES	true	minor	adequate	false	EXONERATE	true	minor	adequate	false
FINDING_13	cursor-specialist-testing-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_14	cursor-specialist-security-output.txt	exonerated	EXONERATE	partially-true		weak	true	EXONERATE	true	minor	weak	false	EXONERATE	partially-true	minor	weak	false
FINDING_15	cursor-specialist-security-output.txt	accepted	YES	true		adequate	true	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_16	cursor-specialist-security-output.txt|cursor-specialist-edge-cases-output.txt	accepted	YES	true		adequate	true	YES	partially-true	minor	adequate	false	EXONERATE	partially-true	minor	adequate	true
FINDING_17	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	major	adequate	false	YES	partially-true		adequate	true	YES	partially-true	major	adequate	true
FINDING_18	dyn-set-e-safety-output.txt	accepted	YES	uncertain	major	good	true	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_2	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	major	adequate	false	YES	partially-true	major	adequate	false	EXONERATE	partially-true	minor	adequate	true
FINDING_3	cursor-specialist-structure-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	false-positive	nit	weak	false
FINDING_4	cursor-specialist-structure-output.txt|cursor-specialist-edge-cases-output.txt	accepted	EXONERATE	false-positive	nit	weak	false	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_5	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	EXONERATE	partially-true	minor	adequate	true
FINDING_6	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-git-add-scope-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_7	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-git-add-scope-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_8	cursor-specialist-plan-fidelity-output.txt	accepted	NO	false-positive	nit	no-fix	false	YES	true	nit	good	false	YES	true	nit	good	false
FINDING_9	cursor-specialist-testing-output.txt|cursor-specialist-plan-fidelity-output.txt	rejected	EXONERATE	partially-true	minor	adequate	false	NO	false-positive	minor	weak	false	NO	false-positive	minor	weak	false
OOS_1	cursor-specialist-correctness-output.txt	accepted	YES	true		adequate	true	YES	true	minor	adequate	false	YES	true	minor	adequate	false
OOS_10	dyn-set-e-safety-output.txt	rejected	EXONERATE	true	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_2	cursor-specialist-testing-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	weak	false
OOS_3	cursor-specialist-plan-fidelity-output.txt	neutral	NO	false-positive	nit	no-fix	false	YES	true	nit	adequate	false	EXONERATE	true	nit	no-fix	false
OOS_4	dyn-git-add-scope-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_5	dyn-git-add-scope-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_6	dyn-git-add-scope-output.txt	rejected	NO	false-positive	nit	no-fix	false	EXONERATE	true	nit	no-fix	true	NO	partially-true	nit	no-fix	false
OOS_7	dyn-git-add-scope-output.txt	accepted	EXONERATE	true	nit	weak	false	YES	true	minor	good	false	YES	true	minor	good	false
OOS_8	dyn-set-e-safety-output.txt	accepted	YES	true		adequate	true	YES	true	minor	adequate	false	YES	true	minor	adequate	false
OOS_9	dyn-set-e-safety-output.txt	neutral	YES	true		adequate	true	EXONERATE	true	minor	adequate	false	NO	true	nit	no-fix	false
