finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness|cursor-specialist-edge-cases|codex-specialist-edge-cases|codex-specialist-testing|dyn-dyn-artifact-context	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	in_scope
FINDING_2	cursor-specialist-correctness|cursor-specialist-edge-cases|codex-specialist-edge-cases|dyn-dyn-artifact-context	accepted	YES	true	minor	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_3	cursor-specialist-correctness|cursor-specialist-edge-cases|cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_4	codex-specialist-correctness|codex-specialist-edge-cases	accepted	YES	true	minor	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	in_scope
FINDING_5	codex-specialist-correctness|cursor-specialist-edge-cases|codex-specialist-edge-cases|cursor-specialist-testing|dyn-dyn-artifact-context	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_6	codex-specialist-correctness|cursor-specialist-testing|cursor-specialist-edge-cases|codex-specialist-testing	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_7	cursor-specialist-edge-cases	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	NO	false-positive	nit	no-fix	false	codex-pragmatism	in_scope
FINDING_8	cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_9	cursor-specialist-testing	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	in_scope
FINDING_10	cursor-specialist-edge-cases|dyn-dyn-artifact-context	accepted	YES	true	minor	adequate	false	codex-validity	YES	partially-true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	oos
FINDING_11	dyn-dyn-artifact-context	neutral	NO	false-positive	nit	weak	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	nit	no-fix	false	codex-pragmatism	oos
FINDING_12	dyn-dyn-artifact-context	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	oos
FINDING_13	cursor-specialist-edge-cases|cursor-specialist-testing	neutral	YES	partially-true	nit	weak	false	codex-validity	NO	partially-true	nit	weak	false	codex-plan-fidelity	NO	partially-true	nit	weak	false	codex-pragmatism	oos
FINDING_14	cursor-specialist-testing	neutral	YES	true	nit	excellent	false	codex-validity	NO	true	nit	excellent	false	codex-plan-fidelity	NO	true	nit	good	false	codex-pragmatism	oos
