finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-publish-state-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_10	dyn-gh-stub-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	good	false	YES	true	minor	good	false
FINDING_11	dyn-gh-stub-output.txt	exonerated	EXONERATE	partially-true	nit	weak	true	NO	partially-true	nit	weak	false	EXONERATE	partially-true	nit	weak	false
FINDING_12	dyn-gh-stub-output.txt	rejected	EXONERATE	true	nit	weak	false	NO	true	nit	no-fix	false	NO	partially-true	nit	no-fix	false
FINDING_13	dyn-publish-state-output.txt	accepted	YES	true	minor	adequate	false	YES	partially-true	major	adequate	false	YES	true	major	good	false
FINDING_14	dyn-temp-cleanup-output.txt	accepted	YES	true	nit	adequate	false	YES	true	nit	good	false	YES	true	nit	adequate	false
FINDING_15	dyn-temp-cleanup-output.txt	accepted	EXONERATE	true	nit	weak	false	YES	true	nit	good	false	YES	true	nit	adequate	false
FINDING_16	dyn-temp-cleanup-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	partially-true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_2	cursor-specialist-correctness-output.txt	exonerated	NO	false-positive	nit	no-fix	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	partially-true	nit	weak	false
FINDING_3	cursor-specialist-testing-output.txt	accepted	EXONERATE	true	minor	adequate	false	YES	true	minor	good	false	YES	true	minor	adequate	false
FINDING_4	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	partially-true	minor	no-fix	false	NO	true	nit	no-fix	false
FINDING_5	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	true	minor	no-fix	false	NO	true	nit	no-fix	false
FINDING_6	cursor-specialist-security-output.txt|cursor-specialist-edge-cases-output.txt|dyn-publish-state-output.txt	exonerated	EXONERATE	true	nit	weak	false	NO	partially-true	nit	no-fix	false	EXONERATE	true	nit	adequate	false
FINDING_7	cursor-specialist-edge-cases-output.txt|dyn-publish-state-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_8	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	weak	false
FINDING_9	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	weak	false
