archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	1	1	0	1.000000
correctness	correctness	1	3	1	0	0.333333
testing	risk-integration	1	3	2	0	0.666667
security	security	1	4	0	4	0.000000
edge-cases	correctness	1	5	1	0	0.200000
plan-fidelity	architecture	1	2	1	0	0.500000
dyn-ci-gate	correctness	1	0	0	0	n/a
dyn-shell-contract	code-quality	1	0	0	0	n/a
dyn-gh-harness	risk-integration	1	3	3	0	1.000000
dyn-publish-tail	architecture	1	3	3	0	1.000000
dyn-admin-merge	security	1	0	0	0	n/a
