finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-step3-contract-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	blocker	good	false	YES	true	major	excellent	false
FINDING_10	cursor-specialist-plan-fidelity-output.txt|dyn-drift-guard-output.txt	accepted	YES	true		good	true	YES	partially-true	minor	good	false	YES	true	major	excellent	false
FINDING_11	cursor-specialist-plan-fidelity-output.txt|dyn-drift-guard-output.txt	accepted	YES	true		good	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_12	cursor-specialist-plan-fidelity-output.txt	accepted	EXONERATE	uncertain		good	true	YES	true	minor	good	false	YES	true	major	good	false
FINDING_13	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true		excellent	true	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_14	cursor-specialist-plan-fidelity-output.txt|dyn-step3-contract-output.txt|dyn-shell-state-output.txt	accepted	YES	partially-true		good	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_15	dyn-drift-guard-output.txt	exonerated	EXONERATE	uncertain		good	true	EXONERATE	partially-true	nit	weak	false	YES	true	major	good	false
FINDING_16	dyn-drift-guard-output.txt|dyn-shell-state-output.txt	accepted	EXONERATE	uncertain		good	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_17	dyn-step3-contract-output.txt|dyn-interactive-flow-output.txt	accepted	EXONERATE	uncertain		good	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_18	dyn-resume-compat-output.txt	accepted	YES	true		good	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_19	dyn-resume-compat-output.txt	accepted	EXONERATE	uncertain		good	true	YES	true	minor	good	false	YES	true	major	good	false
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-step3-contract-output.txt|dyn-resume-compat-output.txt|dyn-interactive-flow-output.txt	accepted	YES	uncertain		good	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_20	dyn-shell-state-output.txt	accepted	YES	uncertain		good	true	YES	true	minor	adequate	false	EXONERATE	true	minor	adequate	false
FINDING_21	dyn-interactive-flow-output.txt	exonerated	EXONERATE	uncertain		good	true	EXONERATE	true	minor	weak	false	YES	true	major	good	false
FINDING_22	dyn-interactive-flow-output.txt	exonerated	EXONERATE	uncertain		good	true	NO	false-positive	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false
FINDING_3	cursor-specialist-correctness-output.txt|dyn-resume-compat-output.txt|dyn-interactive-flow-output.txt	accepted	EXONERATE	uncertain		good	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_4	cursor-specialist-correctness-output.txt	neutral	YES	uncertain	nit	adequate	true	NO	true	nit	adequate	false	JUDGE_ERROR				true
FINDING_5	cursor-specialist-correctness-output.txt	neutral	YES	uncertain	nit	adequate	true	NO	true	nit	adequate	false	JUDGE_ERROR				true
FINDING_6	cursor-specialist-security-output.txt	accepted	EXONERATE	uncertain		adequate	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	cursor-specialist-security-output.txt|dyn-drift-guard-output.txt	accepted	YES	uncertain		good	true	EXONERATE	partially-true	minor	weak	false	YES	true	major	good	false
FINDING_8	cursor-specialist-security-output.txt	exonerated	EXONERATE	true		weak	true	NO	partially-true	nit	weak	false	EXONERATE	partially-true	minor	adequate	false
FINDING_9	cursor-specialist-security-output.txt|cursor-specialist-plan-fidelity-output.txt	exonerated	EXONERATE	true		good	true	EXONERATE	true	minor	adequate	false	EXONERATE	true	minor	adequate	false
