round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	4	7	0	4
1	codex	correctness	codex-specialist-correctness-output.txt	3	6	0	3
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	4	8	1	5
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	2	4	0	2
1	cursor	testing	cursor-specialist-testing-output.txt	4	4	0	4
1	codex	testing	codex-specialist-testing-output.txt	1	1	1	2
1	codex	generalist	codex-generalist-output.txt	1	2	0	1
1	cursor	dyn-dyn-step4-composite	dyn-dyn-step4-composite-output.txt	2	4	5	7
1	codex	dyn-dyn-step4-composite-codex	dyn-dyn-step4-composite-codex-output.txt	0	0	0	0
1	cursor	dyn-dyn-dispatch-telemetry	dyn-dyn-dispatch-telemetry-output.txt	3	5	1	4
1	codex	dyn-dyn-dispatch-telemetry-codex	dyn-dyn-dispatch-telemetry-codex-output.txt	0	0	0	0
1	cursor	dyn-dyn-skill-wires	dyn-dyn-skill-wires-output.txt	5	10	2	7
1	codex	dyn-dyn-skill-wires-codex	dyn-dyn-skill-wires-codex-output.txt	0	0	0	0
2	cursor	correctness	cursor-specialist-correctness-output.txt	1	1	3	6
2	codex	correctness	codex-specialist-correctness-output.txt	1	2	0	2
2	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	2	4	0	3
2	codex	edge-cases	codex-specialist-edge-cases-output.txt	1	2	0	1
2	cursor	testing	cursor-specialist-testing-output.txt	1	2	0	1
2	codex	generalist	codex-generalist-output.txt	0	0	0	0
2	cursor	dyn-dyn-dispatch-telemetry	dyn-dyn-dispatch-telemetry-output.txt	1	2	0	2
2	cursor	dyn-dyn-skill-wires	dyn-dyn-skill-wires-output.txt	1	2	2	3
3	cursor	correctness	cursor-specialist-correctness-output.txt	2	3	4	7
3	codex	correctness	codex-specialist-correctness-output.txt	1	1	1	3
3	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	3	5	2	6
3	codex	edge-cases	codex-specialist-edge-cases-output.txt	1	1	0	2
3	cursor	testing	cursor-specialist-testing-output.txt	2	3	0	4
3	codex	testing	codex-specialist-testing-output.txt	2	3	0	3
3	cursor	dyn-dyn-step4-composite	dyn-dyn-step4-composite-output.txt	1	2	1	2
3	codex	dyn-dyn-step4-composite-codex	dyn-dyn-step4-composite-codex-output.txt	0	0	0	0
3	cursor	dyn-dyn-dispatch-telemetry	dyn-dyn-dispatch-telemetry-output.txt	2	3	1	3
3	codex	dyn-dyn-dispatch-telemetry-codex	dyn-dyn-dispatch-telemetry-codex-output.txt	0	0	0	0
3	cursor	dyn-dyn-skill-wires	dyn-dyn-skill-wires-output.txt	3	4	1	6
3	codex	dyn-dyn-skill-wires-codex	dyn-dyn-skill-wires-codex-output.txt	0	0	0	0
