finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-oos-flow-output.txt|dyn-issue-batch-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_10	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-oos-flow-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true		adequate	true
FINDING_11	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	neutral	NO	true	minor	adequate	false	YES	true	minor	good	false	NO	true		good	true
FINDING_12	cursor-specialist-testing-output.txt	accepted	YES	true	minor	good	false	YES	true	major	good	false	NO	true	minor	good	false
FINDING_13	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	weak	false	NO	true		adequate	true
FINDING_14	dyn-oos-flow-output.txt	accepted	NO	false-positive	minor	weak	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_15	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	weak	false
FINDING_16	cursor-specialist-edge-cases-output.txt	rejected	NO	partially-true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_17	cursor-specialist-testing-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	good	false
FINDING_18	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	good	false
FINDING_19	dyn-oos-flow-output.txt	rejected	NO	true	nit	no-fix	false	NO	partially-true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_2	cursor-specialist-correctness-output.txt|dyn-oos-flow-output.txt	accepted	NO	false-positive	minor	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_20	dyn-issue-batch-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_21	dyn-issue-batch-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	weak	false
FINDING_3	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-oos-flow-output.txt|dyn-issue-batch-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_4	codex-specialist-correctness-output.txt|dyn-issue-batch-output.txt	accepted	NO	partially-true	minor	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_5	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-issue-batch-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_6	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	good	true	YES	true	blocker	good	false	YES	true	blocker	excellent	false
FINDING_7	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|dyn-oos-flow-output.txt|dyn-issue-batch-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_8	cursor-specialist-edge-cases-output.txt	accepted	NO	uncertain	minor	weak	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_9	cursor-specialist-edge-cases-output.txt	rejected	NO	true	minor	weak	false	NO	true	major	adequate	false	NO	true		adequate	true
